s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.064546;-0.025238;-0.463648;0.000000;2.000000
0.180876;0.097234;-0.106128;-0.643501;0.000000;2.000000
0.409667;0.259014;-0.267908;-0.785398;0.000000;2.000000
0.638458;0.420794;-0.429688;-0.643501;0.000000;2.000000
0.819334;0.582574;-0.510578;-0.643501;0.000000;2.000000
1.048125;0.744354;-0.672358;-0.643501;0.000000;2.000000
1.229001;0.906134;-0.753248;-0.643501;0.000000;2.000000
1.457792;1.067914;-0.915028;-0.643501;0.000000;2.000000
1.638668;1.229694;-0.995918;-0.643501;0.000000;2.000000
1.867460;1.391474;-1.157698;-0.643501;0.000000;2.000000
2.048335;1.553254;-1.238588;-0.643501;0.000000;2.000000
2.277127;1.715034;-1.400368;-0.785398;0.000000;2.000000
2.391522;1.795924;-1.481258;-0.588003;0.000000;2.000000
2.572398;1.957704;-1.562148;-0.643501;0.000000;2.000000
2.801189;2.119484;-1.723928;-0.643501;0.000000;2.000000
2.982065;2.281264;-1.804818;-0.643501;0.000000;2.000000
3.210856;2.443044;-1.966598;-0.643501;0.000000;2.000000
3.391732;2.604824;-2.047488;-0.643501;0.000000;2.000000
3.620523;2.766604;-2.209268;-0.643501;0.000000;2.000000
3.801399;2.928384;-2.290158;-0.643501;0.000000;2.000000
4.030190;3.090164;-2.451938;-0.643501;0.000000;2.000000
4.211066;3.251944;-2.532828;-0.643501;0.000000;2.000000
4.439857;3.413724;-2.694608;-0.785398;0.000000;2.000000
4.554253;3.494614;-2.775498;-0.588003;0.000000;2.000000
4.735129;3.656394;-2.856388;-0.643501;0.000000;2.000000
4.963920;3.818174;-3.018168;-0.643501;0.000000;2.000000
5.144796;3.979954;-3.099058;-0.643501;0.000000;2.000000
5.373587;4.141734;-3.260838;-0.643501;0.000000;2.000000
5.554463;4.303514;-3.341728;-0.643501;0.000000;2.000000
5.783254;4.465294;-3.503508;-0.643501;0.000000;2.000000
5.964130;4.627074;-3.584398;-0.643501;0.000000;2.000000
6.192921;4.788854;-3.746178;-0.785398;0.000000;2.000000
6.307317;4.869744;-3.827068;-0.588003;0.000000;2.000000
6.488192;5.031524;-3.907958;-0.643501;0.000000;2.000000
6.716984;5.193304;-4.069738;-0.643501;0.000000;2.000000
6.897859;5.355084;-4.150628;-0.643501;0.000000;2.000000
7.126651;5.516864;-4.312408;-0.643501;0.000000;2.000000
7.307526;5.678644;-4.393298;-0.643501;0.000000;2.000000
7.536318;5.840424;-4.555078;-0.643501;0.000000;2.000000
7.717193;6.002204;-4.635968;-0.643501;0.000000;2.000000
7.945985;6.163984;-4.797748;-0.785398;0.000000;2.000000
8.060381;6.244874;-4.878638;-0.588003;0.000000;2.000000
8.241256;6.406654;-4.959528;-0.643501;0.000000;2.000000
8.470048;6.568434;-5.121308;-0.643501;0.000000;2.000000
8.650923;6.730214;-5.202198;-0.643501;0.000000;2.000000
8.879715;6.891994;-5.363978;-0.643501;0.000000;2.000000
9.060590;7.053774;-5.444868;-0.643501;0.000000;2.000000
9.289382;7.215554;-5.606648;-0.643501;0.000000;2.000000
9.470257;7.377334;-5.687538;-0.643501;0.000000;2.000000
9.699049;7.539114;-5.849318;-0.643501;0.000000;2.000000
9.879924;7.700894;-5.930208;-0.643501;0.000000;2.000000
10.108716;7.862674;-6.091988;-0.785398;0.000000;2.000000
10.223111;7.943564;-6.172878;-0.588003;0.000000;2.000000
10.403987;8.105344;-6.253768;-0.643501;0.000000;2.000000
10.632778;8.267124;-6.415548;-0.643501;0.000000;2.000000
10.813654;8.428904;-6.496438;-0.643501;0.000000;2.000000
11.042445;8.590684;-6.658218;-0.643501;0.000000;2.000000
11.223321;8.752464;-6.739108;-0.643501;0.000000;2.000000
11.452112;8.914244;-6.900888;-0.643501;0.000000;2.000000
11.632988;9.076024;-6.981778;-0.643501;0.000000;2.000000
11.861779;9.237804;-7.143558;-0.785398;0.000000;2.000000
11.976175;9.318694;-7.224448;-0.588003;0.000000;2.000000
12.157051;9.480474;-7.305338;-0.643501;0.000000;2.000000
12.385842;9.642254;-7.467118;-0.643501;0.000000;2.000000
12.566718;9.804034;-7.548008;-0.643501;0.000000;2.000000
12.795509;9.965814;-7.709788;-0.643501;0.000000;2.000000
12.976385;10.127594;-7.790678;-0.643501;0.000000;2.000000
13.205176;10.289374;-7.952458;-0.643501;0.000000;2.000000
13.386052;10.451154;-8.033348;-0.643501;0.000000;2.000000
13.614843;10.612934;-8.195128;-0.785398;0.000000;2.000000
13.729239;10.693824;-8.276018;-0.588003;0.000000;2.000000
13.910114;10.855604;-8.356908;-0.643501;0.000000;2.000000
14.138906;11.017384;-8.518688;-0.643501;0.000000;2.000000
14.319781;11.179164;-8.599578;-0.643501;0.000000;2.000000
14.548573;11.340944;-8.761358;-0.643501;0.000000;2.000000
14.729448;11.502724;-8.842248;-0.643501;0.000000;2.000000
14.958240;11.664504;-9.004028;-0.643501;0.000000;2.000000
15.139115;11.826284;-9.084918;-0.643501;0.000000;2.000000
15.367907;11.988064;-9.246698;-0.643501;0.000000;2.000000
15.548782;12.149844;-9.327588;-0.643501;0.000000;2.000000
15.777574;12.311624;-9.489368;-0.785398;0.000000;2.000000
15.891970;12.392514;-9.570258;-0.588003;0.000000;2.000000
16.072845;12.554294;-9.651148;-0.643501;0.000000;2.000000
16.301637;12.716074;-9.812928;-0.643501;0.000000;2.000000
16.482512;12.877854;-9.893818;-0.643501;0.000000;2.000000
16.711304;13.039634;-10.055598;-0.643501;0.000000;2.000000
16.892179;13.201414;-10.136488;-0.643501;0.000000;2.000000
17.120971;13.363194;-10.298268;-0.643501;0.000000;2.000000
17.301846;13.524974;-10.379158;-0.643501;0.000000;2.000000
17.530638;13.686754;-10.540938;-0.785398;0.000000;2.000000
