s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.012289;-0.020221;0.463648;0.000000;2.000000
0.111915;0.112389;0.029829;0.463648;0.000000;2.000000
0.223830;0.212489;0.079879;0.463648;0.000000;2.000000
0.335746;0.312589;0.129929;0.463648;0.000000;2.000000
0.447661;0.412689;0.179979;0.463648;0.000000;2.000000
0.559576;0.512789;0.230029;0.463648;0.000000;2.000000
0.671491;0.612889;0.280079;0.463648;0.000000;2.000000
0.783406;0.712989;0.330129;0.244979;0.000000;2.000000
0.883506;0.813089;0.330129;0.244979;0.000000;2.000000
0.995422;0.913189;0.380179;0.463648;0.000000;2.000000
1.107337;1.013289;0.430229;0.463648;0.000000;2.000000
1.219252;1.113389;0.480279;0.463648;0.000000;2.000000
1.331167;1.213489;0.530329;0.463648;0.000000;2.000000
1.443082;1.313589;0.580379;0.463648;0.000000;2.000000
1.554998;1.413689;0.630429;0.244979;0.000000;2.000000
1.655098;1.513789;0.630429;0.244979;0.000000;2.000000
1.767013;1.613889;0.680479;0.463648;0.000000;2.000000
1.878928;1.713989;0.730529;0.463648;0.000000;2.000000
1.990843;1.814089;0.780579;0.463648;0.000000;2.000000
2.102758;1.914189;0.830629;0.463648;0.000000;2.000000
2.214674;2.014289;0.880679;0.463648;0.000000;2.000000
2.326589;2.114389;0.930729;0.244979;0.000000;2.000000
2.426689;2.214489;0.930729;0.244979;0.000000;2.000000
2.538604;2.314589;0.980779;0.463648;0.000000;2.000000
2.650519;2.414689;1.030829;0.463648;0.000000;2.000000
2.762434;2.514789;1.080879;0.463648;0.000000;2.000000
2.874350;2.614889;1.130929;0.463648;0.000000;2.000000
2.986265;2.714989;1.180979;0.244979;0.000000;2.000000
3.086365;2.815089;1.180979;0.244979;0.000000;2.000000
3.198280;2.915189;1.231029;0.463648;0.000000;2.000000
3.310195;3.015289;1.281079;0.463648;0.000000;2.000000
3.422110;3.115389;1.331129;0.463648;0.000000;2.000000
3.534026;3.215489;1.381179;0.463648;0.000000;2.000000
3.645941;3.315589;1.431229;0.463648;0.000000;2.000000
3.757856;3.415689;1.481279;0.244979;0.000000;2.000000
3.857956;3.515789;1.481279;0.244979;0.000000;2.000000
3.969871;3.615889;1.531329;0.463648;0.000000;2.000000
4.081786;3.715989;1.581379;0.463648;0.000000;2.000000
4.193702;3.816089;1.631429;0.463648;0.000000;2.000000
4.305617;3.916189;1.681479;0.463648;0.000000;2.000000
4.417532;4.016289;1.731529;0.244979;0.000000;2.000000
4.517632;4.116389;1.731529;0.244979;0.000000;2.000000
4.629547;4.216489;1.781579;0.463648;0.000000;2.000000
4.741462;4.316589;1.831629;0.463648;0.000000;2.000000
4.853378;4.416689;1.881679;0.463648;0.000000;2.000000
4.965293;4.516789;1.931729;0.463648;0.000000;2.000000
5.077208;4.616889;1.981779;0.244979;0.000000;2.000000
5.177308;4.716989;1.981779;0.244979;0.000000;2.000000
5.289223;4.817089;2.031829;0.463648;0.000000;2.000000
5.401138;4.917189;2.081879;0.463648;0.000000;2.000000
5.513054;5.017289;2.131929;0.463648;0.000000;2.000000
5.624969;5.117389;2.181979;0.463648;0.000000;2.000000
5.736884;5.217489;2.232029;0.244979;0.000000;2.000000
5.836984;5.317589;2.232029;0.244979;0.000000;2.000000
5.948899;5.417689;2.282079;0.463648;0.000000;2.000000
6.060815;5.517789;2.332129;0.463648;0.000000;2.000000
6.172730;5.617889;2.382179;0.463648;0.000000;2.000000
6.284645;5.717989;2.432229;0.463648;0.000000;2.000000
6.396560;5.818089;2.482279;0.463648;0.000000;2.000000
6.508475;5.918189;2.532329;0.244979;0.000000;2.000000
6.608575;6.018289;2.532329;0.244979;0.000000;2.000000
6.720491;6.118389;2.582379;0.463648;0.000000;2.000000
6.832406;6.218489;2.632429;0.463648;0.000000;2.000000
6.944321;6.318589;2.682479;0.463648;0.000000;2.000000
7.056236;6.418689;2.732529;0.463648;0.000000;2.000000
7.168151;6.518789;2.782579;0.244979;0.000000;2.000000
7.268251;6.618889;2.782579;0.244979;0.000000;2.000000
7.380167;6.718989;2.832629;0.463648;0.000000;2.000000
7.492082;6.819089;2.882679;0.463648;0.000000;2.000000
7.603997;6.919189;2.932729;0.463648;0.000000;2.000000
7.715912;7.019289;2.982779;0.463648;0.000000;2.000000
7.827827;7.119389;3.032829;0.463648;0.000000;2.000000
7.939743;7.219489;3.082879;0.244979;0.000000;2.000000
8.039843;7.319589;3.082879;0.244979;0.000000;2.000000
8.151758;7.419689;3.132929;0.463648;0.000000;2.000000
8.263673;7.519789;3.182979;0.463648;0.000000;2.000000
8.375588;7.619889;3.233029;0.463648;0.000000;2.000000
8.487503;7.719989;3.283079;0.463648;0.000000;2.000000
8.599419;7.820089;3.333129;0.244979;0.000000;2.000000
8.699519;7.920189;3.333129;0.244979;0.000000;2.000000
8.811434;8.020289;3.383179;0.463648;0.000000;2.000000
8.923349;8.120389;3.433229;0.463648;0.000000;2.000000
9.035264;8.220489;3.483279;0.463648;0.000000;2.000000
9.147179;8.320589;3.533329;0.244979;0.000000;2.000000
9.247279;8.420689;3.533329;0.244979;0.000000;2.000000
9.359195;8.520789;3.583379;0.463648;0.000000;2.000000
9.471110;8.620889;3.633429;0.463648;0.000000;2.000000
9.583025;8.720989;3.683479;0.244979;0.000000;2.000000
9.683125;8.821089;3.683479;0.244979;0.000000;2.000000
9.795040;8.921189;3.733529;0.463648;0.000000;2.000000
9.906955;9.021289;3.783579;0.463648;0.000000;2.000000
10.018871;9.121389;3.833629;0.463648;0.000000;2.000000
10.130786;9.221489;3.883679;0.244979;0.000000;2.000000
10.230886;9.321589;3.883679;0.244979;0.000000;2.000000
10.342801;9.421689;3.933729;0.463648;0.000000;2.000000
10.454716;9.521789;3.983779;0.463648;0.000000;2.000000
10.566631;9.621889;4.033829;0.244979;0.000000;2.000000
10.666731;9.721989;4.033829;0.244979;0.000000;2.000000
10.778647;9.822089;4.083879;0.463648;0.000000;2.000000
10.890562;9.922189;4.133929;0.244979;0.000000;2.000000
10.990662;10.022289;4.133929;0.244979;0.000000;2.000000
11.102577;10.122389;4.183979;0.463648;0.000000;2.000000
11.214492;10.222489;4.234029;0.244979;0.000000;2.000000
11.314592;10.322589;4.234029;0.244979;0.000000;2.000000
11.426507;10.422689;4.284079;0.463648;0.000000;2.000000
11.538423;10.522789;4.334129;0.197396;0.000000;2.000000
11.688573;10.672939;4.334129;0.197396;0.000000;2.000000
11.800488;10.773039;4.384179;0.463648;0.000000;2.000000
11.912403;10.873139;4.434229;0.244979;0.000000;2.000000
12.012503;10.973239;4.434229;0.244979;0.000000;2.000000
12.124418;11.073339;4.484279;0.244979;0.000000;2.000000
12.224518;11.173439;4.484279;0.244979;0.000000;2.000000
12.336433;11.273539;4.534329;0.463648;0.000000;2.000000
12.448349;11.373639;4.584379;0.197396;0.000000;2.000000
12.598499;11.523789;4.584379;0.197396;0.000000;2.000000
12.710414;11.623889;4.634429;0.463648;0.000000;2.000000
12.822329;11.723989;4.684479;0.244979;0.000000;2.000000
12.922429;11.824089;4.684479;0.244979;0.000000;2.000000
13.034344;11.924189;4.734529;0.244979;0.000000;2.000000
13.134444;12.024289;4.734529;0.244979;0.000000;2.000000
13.246359;12.124389;4.784579;0.244979;0.000000;2.000000
13.346459;12.224489;4.784579;0.244979;0.000000;2.000000
13.458375;12.324589;4.834629;0.244979;0.000000;2.000000
13.558475;12.424689;4.834629;0.244979;0.000000;2.000000
13.670390;12.524789;4.884679;0.244979;0.000000;2.000000
13.770490;12.624889;4.884679;0.244979;0.000000;2.000000
13.882405;12.724989;4.934729;0.197396;0.000000;2.000000
14.032555;12.875139;4.934729;0.197396;0.000000;2.000000
14.144470;12.975239;4.984779;0.197396;0.000000;2.000000
14.294620;13.125389;4.984779;0.000000;0.000000;2.000000
14.344670;13.175439;4.984779;0.321751;0.000000;2.000000
14.456585;13.275539;5.034829;0.197396;0.000000;2.000000
14.606735;13.425689;5.034829;0.197396;0.000000;2.000000
14.718651;13.525789;5.084879;0.244979;0.000000;2.000000
14.818751;13.625889;5.084879;0.244979;0.000000;2.000000
14.930666;13.725989;5.134929;0.197396;0.000000;2.000000
15.080816;13.876139;5.134929;0.000000;0.000000;2.000000
15.230966;14.026289;5.134929;0.000000;0.000000;2.000000
15.331066;14.126389;5.134929;0.244979;0.000000;2.000000
15.442981;14.226489;5.184979;0.197396;0.000000;2.000000
15.593131;14.376639;5.184979;0.000000;0.000000;2.000000
15.743281;14.526789;5.184979;0.000000;0.000000;2.000000
15.893431;14.676939;5.184979;0.197396;0.000000;2.000000
16.005346;14.777039;5.235029;0.197396;0.000000;2.000000
16.155496;14.927189;5.235029;0.000000;0.000000;2.000000
16.305646;15.077339;5.235029;0.000000;0.000000;2.000000
16.455796;15.227489;5.235029;0.000000;0.000000;2.000000
16.555896;15.327589;5.235029;0.244979;0.000000;2.000000
16.667811;15.427689;5.285079;0.197396;0.000000;2.000000
16.817961;15.577839;5.285079;0.000000;0.000000;2.000000
16.968111;15.727989;5.285079;0.000000;0.000000;2.000000
17.118261;15.878139;5.285079;0.000000;0.000000;2.000000
17.268411;16.028289;5.285079;0.000000;0.000000;2.000000
17.418561;16.178439;5.285079;0.197396;0.000000;2.000000
17.530477;16.278539;5.335129;0.197396;0.000000;2.000000
17.680627;16.428689;5.335129;0.000000;0.000000;2.000000
17.830777;16.578839;5.335129;0.000000;0.000000;2.000000
17.980927;16.728989;5.335129;0.000000;0.000000;2.000000
18.131077;16.879139;5.335129;0.000000;0.000000;2.000000
18.281227;17.029289;5.335129;0.000000;0.000000;2.000000
18.431377;17.179439;5.335129;0.000000;0.000000;2.000000
18.581527;17.329589;5.335129;0.000000;0.000000;2.000000
18.731677;17.479739;5.335129;0.000000;0.000000;2.000000
18.881827;17.629889;5.335129;0.000000;0.000000;2.000000
19.031977;17.780039;5.335129;0.000000;0.000000;2.000000
19.182127;17.930189;5.335129;-0.197396;0.000000;2.000000
19.294042;18.030289;5.285079;-0.197396;0.000000;2.000000
19.444192;18.180439;5.285079;0.000000;0.000000;2.000000
19.594342;18.330589;5.285079;0.000000;0.000000;2.000000
19.744492;18.480739;5.285079;0.000000;0.000000;2.000000
19.894642;18.630889;5.285079;0.000000;0.000000;2.000000
19.944692;18.680939;5.285079;-0.321751;0.000000;2.000000
20.056607;18.781039;5.235029;-0.197396;0.000000;2.000000
20.206757;18.931189;5.235029;0.000000;0.000000;2.000000
20.356907;19.081339;5.235029;0.000000;0.000000;2.000000
20.457007;19.181439;5.235029;-0.244979;0.000000;2.000000
20.568922;19.281539;5.184979;-0.197396;0.000000;2.000000
20.719072;19.431689;5.184979;0.000000;0.000000;2.000000
20.819172;19.531789;5.184979;-0.244979;0.000000;2.000000
20.931087;19.631889;5.134929;-0.197396;0.000000;2.000000
21.081237;19.782039;5.134929;0.000000;0.000000;2.000000
21.131287;19.832089;5.134929;-0.321751;0.000000;2.000000
21.243203;19.932189;5.084879;-0.197396;0.000000;2.000000
21.393353;20.082339;5.084879;-0.197396;0.000000;2.000000
21.505268;20.182439;5.034829;-0.197396;0.000000;2.000000
21.655418;20.332589;5.034829;-0.197396;0.000000;2.000000
21.767333;20.432689;4.984779;-0.463648;0.000000;2.000000
21.879248;20.532789;4.934729;-0.244979;0.000000;2.000000
21.979348;20.632889;4.934729;-0.244979;0.000000;2.000000
22.091263;20.732989;4.884679;-0.244979;0.000000;2.000000
22.191363;20.833089;4.884679;-0.244979;0.000000;2.000000
22.303279;20.933189;4.834629;-0.244979;0.000000;2.000000
22.403379;21.033289;4.834629;-0.244979;0.000000;2.000000
22.515294;21.133389;4.784579;-0.463648;0.000000;2.000000
22.627209;21.233489;4.734529;-0.463648;0.000000;2.000000
22.739124;21.333589;4.684479;-0.463648;0.000000;2.000000
22.851039;21.433689;4.634429;-0.463648;0.000000;2.000000
22.962955;21.533789;4.584379;-0.244979;0.000000;2.000000
23.063055;21.633889;4.584379;-0.244979;0.000000;2.000000
23.174970;21.733989;4.534329;-0.463648;0.000000;2.000000
23.286885;21.834089;4.484279;-0.463648;0.000000;2.000000
23.398800;21.934189;4.434229;-0.463648;0.000000;2.000000
23.510715;22.034289;4.384179;-0.463648;0.000000;2.000000
23.622631;22.134389;4.334129;-0.463648;0.000000;2.000000
23.734546;22.234489;4.284079;-0.463648;0.000000;2.000000
23.846461;22.334589;4.234029;-0.643501;0.000000;2.000000
23.988024;22.434689;4.133929;-0.643501;0.000000;2.000000
24.099939;22.534789;4.083879;-0.463648;0.000000;2.000000
24.211854;22.634889;4.033829;-0.643501;0.000000;2.000000
24.353417;22.734989;3.933729;-0.643501;0.000000;2.000000
24.465332;22.835089;3.883679;-0.463648;0.000000;2.000000
24.577247;22.935189;3.833629;-0.643501;0.000000;2.000000
24.718810;23.035289;3.733529;-0.643501;0.000000;2.000000
24.830725;23.135389;3.683479;-0.643501;0.000000;2.000000
24.972288;23.235489;3.583379;-0.785398;0.000000;2.000000
25.113851;23.335589;3.483279;-0.643501;0.000000;2.000000
25.225766;23.435689;3.433229;-0.643501;0.000000;2.000000
25.367329;23.535789;3.333129;-0.785398;0.000000;2.000000
25.508892;23.635889;3.233029;-0.785398;0.000000;2.000000
25.650455;23.735989;3.132929;-0.785398;0.000000;2.000000
25.792017;23.836089;3.032829;-0.785398;0.000000;2.000000
25.933580;23.936189;2.932729;-0.785398;0.000000;2.000000
26.075143;24.036289;2.832629;-0.785398;0.000000;2.000000
26.216706;24.136389;2.732529;-0.785398;0.000000;2.000000
26.287487;24.186439;2.682479;-0.982794;0.000000;2.000000
26.399402;24.236489;2.582379;-0.927295;0.000000;2.000000
26.540965;24.336589;2.482279;-0.785398;0.000000;2.000000
26.611746;24.386639;2.432229;-0.982794;0.000000;2.000000
26.723662;24.436689;2.332129;-0.927295;0.000000;2.000000
26.865224;24.536789;2.232029;-0.927295;0.000000;2.000000
26.977140;24.586839;2.131929;-0.927295;0.000000;2.000000
27.118702;24.686939;2.031829;-0.927295;0.000000;2.000000
27.230618;24.736989;1.931729;-1.107149;0.000000;2.000000
27.342533;24.787039;1.831629;-0.927295;0.000000;2.000000
27.484096;24.887139;1.731529;-0.927295;0.000000;2.000000
27.596011;24.937189;1.631429;-1.107149;0.000000;2.000000
27.707926;24.987239;1.531329;-1.107149;0.000000;2.000000
27.819841;25.037289;1.431229;-1.107149;0.000000;2.000000
27.931756;25.087339;1.331129;-1.107149;0.000000;2.000000
28.043672;25.137389;1.231029;-1.107149;0.000000;2.000000
28.155587;25.187439;1.130929;-1.107149;0.000000;2.000000
28.267502;25.237489;1.030829;-1.107149;0.000000;2.000000
28.379417;25.287539;0.930729;-1.107149;0.000000;2.000000
28.491332;25.337589;0.830629;-1.107149;0.000000;2.000000
28.603248;25.387639;0.730529;-1.107149;0.000000;2.000000
28.715163;25.437689;0.630429;-1.325818;0.000000;2.000000
28.815263;25.437689;0.530329;-1.325818;0.000000;2.000000
28.927178;25.487739;0.430229;-1.107149;0.000000;2.000000
29.039093;25.537789;0.330129;-1.107149;0.000000;2.000000
29.151008;25.587839;0.230029;-1.325818;0.000000;2.000000
29.251108;25.587839;0.129929;-1.325818;0.000000;2.000000
29.363024;25.637889;0.029829;-1.107149;0.000000;2.000000
29.474939;25.687939;-0.070271;-1.325818;0.000000;2.000000
29.575039;25.687939;-0.170371;-1.325818;0.000000;2.000000
29.686954;25.737989;-0.270471;-1.107149;0.000000;2.000000
29.798869;25.788039;-0.370571;-1.325818;0.000000;2.000000
29.898969;25.788039;-0.470671;-1.325818;0.000000;2.000000
30.010884;25.838089;-0.570771;-1.107149;0.000000;2.000000
30.122800;25.888139;-0.670871;-1.373401;0.000000;2.000000
30.272950;25.888139;-0.821021;-1.373401;0.000000;2.000000
30.384865;25.938189;-0.921121;-1.107149;0.000000;2.000000
30.496780;25.988239;-1.021221;-1.373401;0.000000;2.000000
30.646930;25.988239;-1.171371;-1.373401;0.000000;2.000000
30.758845;26.038289;-1.271471;-1.325818;0.000000;2.000000
30.858945;26.038289;-1.371571;-1.325818;0.000000;2.000000
30.970860;26.088339;-1.471671;-1.373401;0.000000;2.000000
31.121010;26.088339;-1.621821;-1.373401;0.000000;2.000000
31.232926;26.138389;-1.721921;-1.325818;0.000000;2.000000
31.333026;26.138389;-1.822021;-1.325818;0.000000;2.000000
31.444941;26.188439;-1.922121;-1.325818;0.000000;2.000000
31.545041;26.188439;-2.022221;-1.325818;0.000000;2.000000
31.656956;26.238489;-2.122321;-1.373401;0.000000;2.000000
31.807106;26.238489;-2.272471;-1.570796;0.000000;2.000000
31.857156;26.238489;-2.322521;-1.249046;0.000000;2.000000
31.969071;26.288539;-2.422621;-1.373401;0.000000;2.000000
32.119221;26.288539;-2.572771;-1.570796;0.000000;2.000000
32.169271;26.288539;-2.622821;-1.249046;0.000000;2.000000
32.281186;26.338589;-2.722921;-1.325818;0.000000;2.000000
32.381286;26.338589;-2.823021;-1.325818;0.000000;2.000000
32.493202;26.388639;-2.923121;-1.373401;0.000000;2.000000
32.643352;26.388639;-3.073271;-1.570796;0.000000;2.000000
32.793502;26.388639;-3.223421;-1.570796;0.000000;2.000000
32.943652;26.388639;-3.373571;-1.373401;0.000000;2.000000
33.055567;26.438689;-3.473671;-1.373401;0.000000;2.000000
33.205717;26.438689;-3.623821;-1.570796;0.000000;2.000000
33.255767;26.438689;-3.673871;-1.249046;0.000000;2.000000
33.367682;26.488739;-3.773971;-1.373401;0.000000;2.000000
33.517832;26.488739;-3.924121;-1.570796;0.000000;2.000000
33.667982;26.488739;-4.074271;-1.570796;0.000000;2.000000
33.818132;26.488739;-4.224421;-1.570796;0.000000;2.000000
33.968282;26.488739;-4.374571;-1.373401;0.000000;2.000000
34.080197;26.538789;-4.474671;-1.373401;0.000000;2.000000
34.230347;26.538789;-4.624821;-1.570796;0.000000;2.000000
34.380497;26.538789;-4.774971;-1.570796;0.000000;2.000000
34.530647;26.538789;-4.925121;-1.570796;0.000000;2.000000
34.630747;26.538789;-5.025221;-1.325818;0.000000;2.000000
34.742662;26.588839;-5.125321;-1.373401;0.000000;2.000000
34.892812;26.588839;-5.275471;-1.570796;0.000000;2.000000
35.042962;26.588839;-5.425621;-1.570796;0.000000;2.000000
35.193112;26.588839;-5.575771;-1.570796;0.000000;2.000000
35.343262;26.588839;-5.725921;-1.570796;0.000000;2.000000
35.393312;26.588839;-5.775971;-1.249046;0.000000;2.000000
35.505228;26.638889;-5.876071;-1.373401;0.000000;2.000000
35.655378;26.638889;-6.026221;-1.570796;0.000000;2.000000
35.805528;26.638889;-6.176371;-1.570796;0.000000;2.000000
35.955678;26.638889;-6.326521;-1.570796;0.000000;2.000000
36.105828;26.638889;-6.476671;-1.570796;0.000000;2.000000
36.255978;26.638889;-6.626821;-1.570796;0.000000;2.000000
36.406128;26.638889;-6.776971;-1.570796;0.000000;2.000000
36.506228;26.638889;-6.877071;-1.325818;0.000000;2.000000
36.618143;26.688939;-6.977171;-1.373401;0.000000;2.000000
36.768293;26.688939;-7.127321;-1.570796;0.000000;2.000000
36.918443;26.688939;-7.277471;-1.570796;0.000000;2.000000
37.068593;26.688939;-7.427621;-1.570796;0.000000;2.000000
37.218743;26.688939;-7.577771;-1.570796;0.000000;2.000000
37.368893;26.688939;-7.727921;-1.570796;0.000000;2.000000
37.519043;26.688939;-7.878071;-1.570796;0.000000;2.000000
37.669193;26.688939;-8.028221;-1.570796;0.000000;2.000000
37.819343;26.688939;-8.178371;-1.570796;0.000000;2.000000
37.969493;26.688939;-8.328521;-1.373401;0.000000;2.000000
38.081408;26.738989;-8.428621;-1.373401;0.000000;2.000000
38.231558;26.738989;-8.578771;-1.570796;0.000000;2.000000
38.381708;26.738989;-8.728921;-1.570796;0.000000;2.000000
38.531858;26.738989;-8.879071;-1.570796;0.000000;2.000000
38.682008;26.738989;-9.029221;-1.570796;0.000000;2.000000
38.832158;26.738989;-9.179371;-1.570796;0.000000;2.000000
38.982308;26.738989;-9.329521;-1.570796;0.000000;2.000000
39.132458;26.738989;-9.479671;-1.570796;0.000000;2.000000
39.282608;26.738989;-9.629821;-1.570796;0.000000;2.000000
39.432758;26.738989;-9.779971;-1.570796;0.000000;2.000000
39.582908;26.738989;-9.930121;-1.570796;0.000000;2.000000
39.733058;26.738989;-10.080271;-1.570796;0.000000;2.000000
39.883208;26.738989;-10.230421;-1.570796;0.000000;2.000000
40.033358;26.738989;-10.380571;-1.570796;0.000000;2.000000
40.183508;26.738989;-10.530721;-1.570796;0.000000;2.000000
40.333658;26.738989;-10.680871;-1.570796;0.000000;2.000000
40.483808;26.738989;-10.831021;-1.570796;0.000000;2.000000
40.633958;26.738989;-10.981171;-1.570796;0.000000;2.000000
40.784108;26.738989;-11.131321;-1.570796;0.000000;2.000000
40.934258;26.738989;-11.281471;-1.570796;0.000000;2.000000
41.084408;26.738989;-11.431621;-1.570796;0.000000;2.000000
41.234558;26.738989;-11.581771;-1.768192;0.000000;2.000000
41.346473;26.688939;-11.681871;-1.768192;0.000000;2.000000
41.496623;26.688939;-11.832021;-1.570796;0.000000;2.000000
41.646773;26.688939;-11.982171;-1.570796;0.000000;2.000000
41.796923;26.688939;-12.132321;-1.570796;0.000000;2.000000
41.897023;26.688939;-12.232421;-1.815775;0.000000;2.000000
42.008938;26.638889;-12.332521;-1.768192;0.000000;2.000000
42.159088;26.638889;-12.482671;-1.570796;0.000000;2.000000
42.309238;26.638889;-12.632821;-1.570796;0.000000;2.000000
42.459388;26.638889;-12.782971;-1.570796;0.000000;2.000000
42.609538;26.638889;-12.933121;-1.570796;0.000000;2.000000
42.759688;26.638889;-13.083271;-1.570796;0.000000;2.000000
42.859788;26.638889;-13.183371;-1.815775;0.000000;2.000000
42.971704;26.588839;-13.283471;-1.768192;0.000000;2.000000
43.121854;26.588839;-13.433621;-1.570796;0.000000;2.000000
43.272004;26.588839;-13.583771;-1.570796;0.000000;2.000000
43.422154;26.588839;-13.733921;-1.570796;0.000000;2.000000
43.572304;26.588839;-13.884071;-1.570796;0.000000;2.000000
43.622354;26.588839;-13.934121;-1.892547;0.000000;2.000000
43.734269;26.538789;-14.034221;-1.768192;0.000000;2.000000
43.884419;26.538789;-14.184371;-1.570796;0.000000;2.000000
44.034569;26.538789;-14.334521;-1.570796;0.000000;2.000000
44.184719;26.538789;-14.484671;-1.570796;0.000000;2.000000
44.234769;26.538789;-14.534721;-1.892547;0.000000;2.000000
44.346684;26.488739;-14.634821;-1.768192;0.000000;2.000000
44.496834;26.488739;-14.784971;-1.570796;0.000000;2.000000
44.646984;26.488739;-14.935121;-1.570796;0.000000;2.000000
44.797134;26.488739;-15.085271;-1.768192;0.000000;2.000000
44.909049;26.438689;-15.185371;-1.768192;0.000000;2.000000
45.059199;26.438689;-15.335521;-1.570796;0.000000;2.000000
45.209349;26.438689;-15.485671;-1.570796;0.000000;2.000000
45.359499;26.438689;-15.635821;-1.768192;0.000000;2.000000
45.471414;26.388639;-15.735921;-1.768192;0.000000;2.000000
45.621564;26.388639;-15.886071;-1.570796;0.000000;2.000000
45.771714;26.388639;-16.036221;-1.570796;0.000000;2.000000
45.921864;26.388639;-16.186371;-1.768192;0.000000;2.000000
46.033780;26.338589;-16.286471;-1.768192;0.000000;2.000000
46.183930;26.338589;-16.436621;-1.570796;0.000000;2.000000
46.334080;26.338589;-16.586771;-1.570796;0.000000;2.000000
46.484230;26.338589;-16.736921;-1.768192;0.000000;2.000000
46.596145;26.288539;-16.837021;-1.768192;0.000000;2.000000
46.746295;26.288539;-16.987171;-1.570796;0.000000;2.000000
46.896445;26.288539;-17.137321;-1.570796;0.000000;2.000000
47.046595;26.288539;-17.287471;-1.768192;0.000000;2.000000
47.158510;26.238489;-17.387571;-1.768192;0.000000;2.000000
47.308660;26.238489;-17.537721;-1.570796;0.000000;2.000000
47.458810;26.238489;-17.687871;-1.570796;0.000000;2.000000
47.608960;26.238489;-17.838021;-1.768192;0.000000;2.000000
47.720875;26.188439;-17.938121;-1.768192;0.000000;2.000000
47.871025;26.188439;-18.088271;-1.570796;0.000000;2.000000
48.021175;26.188439;-18.238421;-1.570796;0.000000;2.000000
48.121275;26.188439;-18.338521;-1.815775;0.000000;2.000000
48.233190;26.138389;-18.438621;-1.768192;0.000000;2.000000
48.383340;26.138389;-18.588771;-1.570796;0.000000;2.000000
48.533490;26.138389;-18.738921;-1.570796;0.000000;2.000000
48.633590;26.138389;-18.839021;-1.815775;0.000000;2.000000
48.745506;26.088339;-18.939121;-1.768192;0.000000;2.000000
48.895656;26.088339;-19.089271;-1.570796;0.000000;2.000000
49.045806;26.088339;-19.239421;-1.570796;0.000000;2.000000
49.145906;26.088339;-19.339521;-1.815775;0.000000;2.000000
49.257821;26.038289;-19.439621;-1.768192;0.000000;2.000000
49.407971;26.038289;-19.589771;-1.570796;0.000000;2.000000
49.558121;26.038289;-19.739921;-1.570796;0.000000;2.000000
49.608171;26.038289;-19.789971;-1.892547;0.000000;2.000000
49.720086;25.988239;-19.890071;-1.768192;0.000000;2.000000
49.870236;25.988239;-20.040221;-1.570796;0.000000;2.000000
50.020386;25.988239;-20.190371;-1.570796;0.000000;2.000000
50.070436;25.988239;-20.240421;-1.892547;0.000000;2.000000
50.182351;25.938189;-20.340521;-1.768192;0.000000;2.000000
