s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.023821;-0.029051;-0.785398;0.000000;2.000000
0.182320;0.105099;-0.157971;-0.785398;0.000000;2.000000
0.273481;0.169559;-0.222431;-0.588003;0.000000;2.000000
0.417618;0.298479;-0.286891;-0.643501;0.000000;2.000000
0.599938;0.427399;-0.415811;-0.785398;0.000000;2.000000
0.782258;0.556319;-0.544731;-0.643501;0.000000;2.000000
0.926395;0.685239;-0.609191;-0.643501;0.000000;2.000000
1.108716;0.814159;-0.738111;-0.785398;0.000000;2.000000
1.291036;0.943079;-0.867031;-0.643501;0.000000;2.000000
1.435173;1.071999;-0.931491;-0.643501;0.000000;2.000000
1.617494;1.200919;-1.060411;-0.785398;0.000000;2.000000
1.799814;1.329839;-1.189331;-0.643501;0.000000;2.000000
1.943951;1.458759;-1.253791;-0.643501;0.000000;2.000000
2.126271;1.587679;-1.382711;-0.785398;0.000000;2.000000
2.217431;1.652139;-1.447171;-0.588003;0.000000;2.000000
2.361568;1.781059;-1.511631;-0.643501;0.000000;2.000000
2.543889;1.909979;-1.640551;-0.785398;0.000000;2.000000
2.726209;2.038899;-1.769471;-0.643501;0.000000;2.000000
2.870346;2.167819;-1.833931;-0.643501;0.000000;2.000000
3.052667;2.296739;-1.962851;-0.785398;0.000000;2.000000
3.234987;2.425659;-2.091771;-0.643501;0.000000;2.000000
3.379124;2.554579;-2.156231;-0.643501;0.000000;2.000000
3.561444;2.683499;-2.285151;-0.785398;0.000000;2.000000
3.743765;2.812419;-2.414071;-0.643501;0.000000;2.000000
3.887902;2.941339;-2.478531;-0.643501;0.000000;2.000000
4.070222;3.070259;-2.607451;-0.785398;0.000000;2.000000
4.252543;3.199179;-2.736371;-0.643501;0.000000;2.000000
4.396679;3.328099;-2.800831;-0.643501;0.000000;2.000000
4.579000;3.457019;-2.929751;-0.785398;0.000000;2.000000
4.670160;3.521479;-2.994211;-0.588003;0.000000;2.000000
4.814297;3.650399;-3.058671;-0.643501;0.000000;2.000000
4.996617;3.779319;-3.187591;-0.785398;0.000000;2.000000
5.178938;3.908239;-3.316511;-0.643501;0.000000;2.000000
5.323075;4.037159;-3.380971;-0.643501;0.000000;2.000000
5.505395;4.166079;-3.509891;-0.785398;0.000000;2.000000
5.687716;4.294999;-3.638811;-0.643501;0.000000;2.000000
5.831853;4.423919;-3.703271;-0.643501;0.000000;2.000000
6.014173;4.552839;-3.832191;-0.785398;0.000000;2.000000
6.105333;4.617299;-3.896651;-0.588003;0.000000;2.000000
6.249470;4.746219;-3.961111;-0.643501;0.000000;2.000000
6.431791;4.875139;-4.090031;-0.785398;0.000000;2.000000
6.614111;5.004059;-4.218951;-0.643501;0.000000;2.000000
6.758248;5.132979;-4.283411;-0.643501;0.000000;2.000000
6.940568;5.261899;-4.412331;-0.785398;0.000000;2.000000
7.122889;5.390819;-4.541251;-0.643501;0.000000;2.000000
7.267026;5.519739;-4.605711;-0.643501;0.000000;2.000000
7.449346;5.648659;-4.734631;-0.785398;0.000000;2.000000
7.540506;5.713119;-4.799091;-0.588003;0.000000;2.000000
7.684643;5.842039;-4.863551;-0.643501;0.000000;2.000000
7.866964;5.970959;-4.992471;-0.785398;0.000000;2.000000
8.049284;6.099879;-5.121391;-0.643501;0.000000;2.000000
8.193421;6.228799;-5.185851;-0.643501;0.000000;2.000000
8.375741;6.357719;-5.314771;-0.785398;0.000000;2.000000
8.466902;6.422179;-5.379231;-0.588003;0.000000;2.000000
8.611039;6.551099;-5.443691;-0.643501;0.000000;2.000000
8.793359;6.680019;-5.572611;-0.785398;0.000000;2.000000
8.975679;6.808939;-5.701531;-0.643501;0.000000;2.000000
9.119816;6.937859;-5.765991;-0.643501;0.000000;2.000000
9.302137;7.066779;-5.894911;-0.785398;0.000000;2.000000
9.484457;7.195699;-6.023831;-0.643501;0.000000;2.000000
9.628594;7.324619;-6.088291;-0.643501;0.000000;2.000000
9.810915;7.453539;-6.217211;-0.785398;0.000000;2.000000
9.902075;7.517999;-6.281671;-0.588003;0.000000;2.000000
10.046212;7.646919;-6.346131;-0.643501;0.000000;2.000000
10.228532;7.775839;-6.475051;-0.785398;0.000000;2.000000
10.410852;7.904759;-6.603971;-0.643501;0.000000;2.000000
