s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.043179;-0.011403;0.785398;0.000000;2.000000
0.170158;0.077141;0.108917;0.927295;0.000000;2.000000
0.304680;0.137301;0.229237;1.107149;0.000000;2.000000
0.439202;0.197461;0.349557;1.107149;0.000000;2.000000
0.573724;0.257621;0.469877;0.927295;0.000000;2.000000
0.743882;0.377941;0.590197;0.927295;0.000000;2.000000
0.878404;0.438101;0.710517;1.107149;0.000000;2.000000
1.012926;0.498261;0.830837;0.927295;0.000000;2.000000
1.183084;0.618581;0.951157;0.927295;0.000000;2.000000
1.317606;0.678741;1.071477;1.107149;0.000000;2.000000
1.452127;0.738901;1.191797;0.927295;0.000000;2.000000
1.622286;0.859221;1.312117;0.927295;0.000000;2.000000
1.756807;0.919381;1.432437;1.107149;0.000000;2.000000
1.891329;0.979541;1.552757;1.107149;0.000000;2.000000
2.025851;1.039701;1.673077;0.927295;0.000000;2.000000
2.196009;1.160021;1.793397;0.927295;0.000000;2.000000
2.330531;1.220181;1.913717;1.107149;0.000000;2.000000
2.465053;1.280341;2.034037;0.927295;0.000000;2.000000
2.635211;1.400661;2.154357;0.927295;0.000000;2.000000
2.769733;1.460821;2.274677;1.107149;0.000000;2.000000
2.904255;1.520981;2.394997;1.107149;0.000000;2.000000
3.038777;1.581141;2.515317;0.927295;0.000000;2.000000
3.208935;1.701461;2.635637;0.927295;0.000000;2.000000
3.343457;1.761621;2.755957;1.107149;0.000000;2.000000
3.477979;1.821781;2.876277;0.927295;0.000000;2.000000
3.648137;1.942101;2.996597;0.927295;0.000000;2.000000
3.782659;2.002261;3.116917;1.107149;0.000000;2.000000
3.917181;2.062421;3.237237;0.927295;0.000000;2.000000
4.087339;2.182741;3.357557;0.927295;0.000000;2.000000
4.221861;2.242901;3.477877;1.107149;0.000000;2.000000
4.356382;2.303061;3.598197;1.107149;0.000000;2.000000
4.490904;2.363221;3.718517;0.927295;0.000000;2.000000
4.661062;2.483541;3.838837;0.927295;0.000000;2.000000
4.795584;2.543701;3.959157;1.107149;0.000000;2.000000
4.930106;2.603861;4.079477;0.927295;0.000000;2.000000
5.100264;2.724181;4.199797;0.927295;0.000000;2.000000
5.234786;2.784341;4.320117;1.107149;0.000000;2.000000
5.369308;2.844501;4.440437;1.107149;0.000000;2.000000
5.503830;2.904661;4.560757;0.927295;0.000000;2.000000
5.673988;3.024981;4.681077;0.927295;0.000000;2.000000
5.808510;3.085141;4.801397;1.107149;0.000000;2.000000
