s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.073294;-0.008050;-0.785398;0.000000;2.000000
0.094781;-0.006274;-0.075070;-0.982794;0.000000;2.000000
0.244642;0.060746;-0.209110;-1.107149;0.000000;2.000000
0.394503;0.127766;-0.343150;-1.107149;0.000000;2.000000
0.544364;0.194786;-0.477190;-1.107149;0.000000;2.000000
0.694226;0.261806;-0.611230;-1.107149;0.000000;2.000000
0.844087;0.328826;-0.745270;-1.107149;0.000000;2.000000
0.993948;0.395846;-0.879310;-1.107149;0.000000;2.000000
1.143810;0.462866;-1.013350;-1.107149;0.000000;2.000000
1.293671;0.529886;-1.147390;-1.107149;0.000000;2.000000
1.443532;0.596906;-1.281430;-1.107149;0.000000;2.000000
1.593393;0.663926;-1.415470;-1.325818;0.000000;2.000000
1.727433;0.663926;-1.549510;-1.325818;0.000000;2.000000
1.877295;0.730946;-1.683550;-1.107149;0.000000;2.000000
2.027156;0.797966;-1.817590;-1.107149;0.000000;2.000000
2.177017;0.864986;-1.951630;-1.107149;0.000000;2.000000
2.326878;0.932006;-2.085670;-1.107149;0.000000;2.000000
2.476740;0.999026;-2.219710;-1.107149;0.000000;2.000000
2.626601;1.066046;-2.353750;-1.107149;0.000000;2.000000
2.776462;1.133066;-2.487790;-1.107149;0.000000;2.000000
2.926324;1.200086;-2.621830;-1.107149;0.000000;2.000000
3.076185;1.267106;-2.755870;-1.107149;0.000000;2.000000
3.226046;1.334126;-2.889910;-1.107149;0.000000;2.000000
3.375907;1.401146;-3.023950;-1.107149;0.000000;2.000000
3.525769;1.468166;-3.157990;-1.107149;0.000000;2.000000
3.675630;1.535186;-3.292030;-1.107149;0.000000;2.000000
3.825491;1.602206;-3.426070;-1.107149;0.000000;2.000000
3.975352;1.669226;-3.560110;-1.107149;0.000000;2.000000
4.125214;1.736246;-3.694150;-1.107149;0.000000;2.000000
4.275075;1.803266;-3.828190;-1.107149;0.000000;2.000000
4.424936;1.870286;-3.962230;-1.107149;0.000000;2.000000
4.574798;1.937306;-4.096270;-1.107149;0.000000;2.000000
4.724659;2.004326;-4.230310;-1.107149;0.000000;2.000000
4.874520;2.071346;-4.364350;-1.107149;0.000000;2.000000
5.024381;2.138366;-4.498390;-1.107149;0.000000;2.000000
5.174243;2.205386;-4.632430;-1.107149;0.000000;2.000000
5.324104;2.272406;-4.766470;-1.107149;0.000000;2.000000
5.473965;2.339426;-4.900510;-1.107149;0.000000;2.000000
5.623827;2.406446;-5.034550;-1.107149;0.000000;2.000000
5.773688;2.473466;-5.168590;-1.107149;0.000000;2.000000
5.923549;2.540486;-5.302630;-1.325818;0.000000;2.000000
6.057589;2.540486;-5.436670;-1.325818;0.000000;2.000000
6.207450;2.607506;-5.570710;-1.107149;0.000000;2.000000
6.357312;2.674526;-5.704750;-1.107149;0.000000;2.000000
6.507173;2.741546;-5.838790;-1.107149;0.000000;2.000000
6.657034;2.808566;-5.972830;-1.107149;0.000000;2.000000
6.806895;2.875586;-6.106870;-1.107149;0.000000;2.000000
6.956757;2.942606;-6.240910;-1.107149;0.000000;2.000000
7.106618;3.009626;-6.374950;-1.107149;0.000000;2.000000
7.256479;3.076646;-6.508990;-1.107149;0.000000;2.000000
7.406341;3.143666;-6.643030;-1.107149;0.000000;2.000000
7.556202;3.210686;-6.777070;-1.107149;0.000000;2.000000
7.706063;3.277706;-6.911110;-1.107149;0.000000;2.000000
7.855924;3.344726;-7.045150;-1.107149;0.000000;2.000000
8.005786;3.411746;-7.179190;-1.107149;0.000000;2.000000
8.155647;3.478766;-7.313230;-1.107149;0.000000;2.000000
8.305508;3.545786;-7.447270;-1.107149;0.000000;2.000000
8.455369;3.612806;-7.581310;-1.325818;0.000000;2.000000
8.589409;3.612806;-7.715350;-1.325818;0.000000;2.000000
8.739271;3.679826;-7.849390;-1.107149;0.000000;2.000000
8.889132;3.746846;-7.983430;-1.107149;0.000000;2.000000
9.038993;3.813866;-8.117470;-1.107149;0.000000;2.000000
