s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.072175;-0.020289;1.570796;0.000000;2.000000
0.191010;-0.072175;0.170721;1.570796;0.000000;2.000000
0.382020;-0.072175;0.361731;1.570796;0.000000;2.000000
0.573030;-0.072175;0.552741;1.570796;0.000000;2.000000
0.764040;-0.072175;0.743751;1.570796;0.000000;2.000000
0.955050;-0.072175;0.934761;1.570796;0.000000;2.000000
1.146060;-0.072175;1.125771;1.570796;0.000000;2.000000
1.337070;-0.072175;1.316781;1.570796;0.000000;2.000000
1.528080;-0.072175;1.507791;1.570796;0.000000;2.000000
1.719090;-0.072175;1.698801;1.570796;0.000000;2.000000
1.910100;-0.072175;1.889811;1.570796;0.000000;2.000000
2.037440;-0.072175;2.017151;1.815775;0.000000;2.000000
2.179810;-0.135845;2.144491;1.768192;0.000000;2.000000
2.370820;-0.135845;2.335501;1.570796;0.000000;2.000000
2.561830;-0.135845;2.526511;1.570796;0.000000;2.000000
2.752840;-0.135845;2.717521;1.570796;0.000000;2.000000
2.943850;-0.135845;2.908531;1.570796;0.000000;2.000000
3.134860;-0.135845;3.099541;1.570796;0.000000;2.000000
3.325870;-0.135845;3.290551;1.570796;0.000000;2.000000
3.516880;-0.135845;3.481561;1.570796;0.000000;2.000000
3.707890;-0.135845;3.672571;1.570796;0.000000;2.000000
3.898900;-0.135845;3.863581;1.570796;0.000000;2.000000
4.089910;-0.135845;4.054591;1.570796;0.000000;2.000000
4.280920;-0.135845;4.245601;1.570796;0.000000;2.000000
4.471930;-0.135845;4.436611;1.570796;0.000000;2.000000
4.662940;-0.135845;4.627621;1.570796;0.000000;2.000000
4.853950;-0.135845;4.818631;1.570796;0.000000;2.000000
5.044960;-0.135845;5.009641;1.570796;0.000000;2.000000
5.235970;-0.135845;5.200651;1.570796;0.000000;2.000000
5.299640;-0.135845;5.264321;1.892547;0.000000;2.000000
5.442011;-0.199515;5.391661;1.768192;0.000000;2.000000
5.633021;-0.199515;5.582671;1.570796;0.000000;2.000000
5.824031;-0.199515;5.773681;1.570796;0.000000;2.000000
6.015041;-0.199515;5.964691;1.570796;0.000000;2.000000
6.206051;-0.199515;6.155701;1.570796;0.000000;2.000000
6.397061;-0.199515;6.346711;1.570796;0.000000;2.000000
6.588071;-0.199515;6.537721;1.570796;0.000000;2.000000
6.779081;-0.199515;6.728731;1.570796;0.000000;2.000000
6.970091;-0.199515;6.919741;1.570796;0.000000;2.000000
7.161101;-0.199515;7.110751;1.570796;0.000000;2.000000
7.352111;-0.199515;7.301761;1.570796;0.000000;2.000000
7.543121;-0.199515;7.492771;1.570796;0.000000;2.000000
7.734131;-0.199515;7.683781;1.570796;0.000000;2.000000
7.925141;-0.199515;7.874791;1.570796;0.000000;2.000000
8.116151;-0.199515;8.065801;1.570796;0.000000;2.000000
