s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.045129;-0.073926;-0.785398;0.000000;2.000000
0.254813;0.135051;-0.254106;-0.785398;0.000000;2.000000
0.382219;0.225141;-0.344196;-0.588003;0.000000;2.000000
0.583667;0.405321;-0.434286;-0.643501;0.000000;2.000000
0.838480;0.585501;-0.614466;-0.785398;0.000000;2.000000
1.093293;0.765681;-0.794646;-0.785398;0.000000;2.000000
1.348106;0.945861;-0.974826;-0.785398;0.000000;2.000000
1.602919;1.126041;-1.155006;-0.785398;0.000000;2.000000
1.857732;1.306221;-1.335186;-0.785398;0.000000;2.000000
2.112545;1.486401;-1.515366;-0.785398;0.000000;2.000000
2.367358;1.666581;-1.695546;-0.785398;0.000000;2.000000
2.622171;1.846761;-1.875726;-0.785398;0.000000;2.000000
2.876984;2.026941;-2.055906;-0.785398;0.000000;2.000000
3.131797;2.207121;-2.236086;-0.785398;0.000000;2.000000
3.386610;2.387301;-2.416266;-0.785398;0.000000;2.000000
3.641423;2.567481;-2.596446;-0.643501;0.000000;2.000000
3.842870;2.747661;-2.686536;-0.643501;0.000000;2.000000
4.097683;2.927841;-2.866716;-0.785398;0.000000;2.000000
4.352496;3.108021;-3.046896;-0.785398;0.000000;2.000000
4.607309;3.288201;-3.227076;-0.785398;0.000000;2.000000
4.862122;3.468381;-3.407256;-0.785398;0.000000;2.000000
5.116935;3.648561;-3.587436;-0.785398;0.000000;2.000000
5.371748;3.828741;-3.767616;-0.785398;0.000000;2.000000
5.626561;4.008921;-3.947796;-0.785398;0.000000;2.000000
5.881374;4.189101;-4.127976;-0.785398;0.000000;2.000000
6.136187;4.369281;-4.308156;-0.785398;0.000000;2.000000
6.391000;4.549461;-4.488336;-0.785398;0.000000;2.000000
6.645813;4.729641;-4.668516;-0.785398;0.000000;2.000000
6.900626;4.909821;-4.848696;-0.785398;0.000000;2.000000
7.028033;4.999911;-4.938786;-0.588003;0.000000;2.000000
7.229480;5.180091;-5.028876;-0.643501;0.000000;2.000000
7.484293;5.360271;-5.209056;-0.785398;0.000000;2.000000
7.739106;5.540451;-5.389236;-0.785398;0.000000;2.000000
7.993919;5.720631;-5.569416;-0.785398;0.000000;2.000000
8.248732;5.900811;-5.749596;-0.785398;0.000000;2.000000
8.503545;6.080991;-5.929776;-0.785398;0.000000;2.000000
8.758358;6.261171;-6.109956;-0.785398;0.000000;2.000000
9.013171;6.441351;-6.290136;-0.785398;0.000000;2.000000
9.267984;6.621531;-6.470316;-0.785398;0.000000;2.000000
9.522797;6.801711;-6.650496;-0.785398;0.000000;2.000000
9.777610;6.981891;-6.830676;-0.785398;0.000000;2.000000
10.032423;7.162071;-7.010856;-0.785398;0.000000;2.000000
10.287236;7.342251;-7.191036;-0.643501;0.000000;2.000000
10.488683;7.522431;-7.281126;-0.643501;0.000000;2.000000
10.743496;7.702611;-7.461306;-0.785398;0.000000;2.000000
10.998309;7.882791;-7.641486;-0.785398;0.000000;2.000000
