s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.005224;-0.000114;0.000000;0.000000;2.000000
0.139820;0.134596;-0.000114;-0.244979;0.000000;2.000000
0.296144;0.274416;-0.070024;-0.197396;0.000000;2.000000
0.505874;0.484146;-0.070024;0.000000;0.000000;2.000000
0.645694;0.623966;-0.070024;-0.244979;0.000000;2.000000
0.802017;0.763786;-0.139934;-0.197396;0.000000;2.000000
1.011747;0.973516;-0.139934;0.000000;0.000000;2.000000
1.151567;1.113336;-0.139934;-0.244979;0.000000;2.000000
1.307891;1.253156;-0.209844;-0.197396;0.000000;2.000000
1.517621;1.462886;-0.209844;0.000000;0.000000;2.000000
1.657441;1.602706;-0.209844;-0.244979;0.000000;2.000000
1.813764;1.742526;-0.279754;-0.197396;0.000000;2.000000
2.023494;1.952256;-0.279754;0.000000;0.000000;2.000000
2.093404;2.022166;-0.279754;-0.321751;0.000000;2.000000
2.249728;2.161986;-0.349664;-0.197396;0.000000;2.000000
2.459458;2.371716;-0.349664;0.000000;0.000000;2.000000
2.599278;2.511536;-0.349664;-0.244979;0.000000;2.000000
2.755601;2.651356;-0.419574;-0.197396;0.000000;2.000000
2.965331;2.861086;-0.419574;0.000000;0.000000;2.000000
3.105151;3.000906;-0.419574;-0.244979;0.000000;2.000000
3.261475;3.140726;-0.489484;-0.197396;0.000000;2.000000
3.471205;3.350456;-0.489484;0.000000;0.000000;2.000000
3.611025;3.490276;-0.489484;-0.244979;0.000000;2.000000
3.767348;3.630096;-0.559394;-0.197396;0.000000;2.000000
3.977078;3.839826;-0.559394;0.000000;0.000000;2.000000
4.116898;3.979646;-0.559394;-0.244979;0.000000;2.000000
4.273222;4.119466;-0.629304;-0.197396;0.000000;2.000000
4.482952;4.329196;-0.629304;0.000000;0.000000;2.000000
4.622772;4.469016;-0.629304;-0.244979;0.000000;2.000000
4.779095;4.608836;-0.699214;-0.197396;0.000000;2.000000
4.988825;4.818566;-0.699214;0.000000;0.000000;2.000000
5.128645;4.958386;-0.699214;-0.244979;0.000000;2.000000
5.284969;5.098206;-0.769124;-0.197396;0.000000;2.000000
5.494699;5.307936;-0.769124;0.000000;0.000000;2.000000
5.634519;5.447756;-0.769124;-0.244979;0.000000;2.000000
5.790842;5.587576;-0.839034;-0.197396;0.000000;2.000000
6.000572;5.797306;-0.839034;0.000000;0.000000;2.000000
6.140392;5.937126;-0.839034;-0.244979;0.000000;2.000000
6.296716;6.076946;-0.908944;-0.197396;0.000000;2.000000
6.506446;6.286676;-0.908944;0.000000;0.000000;2.000000
6.646266;6.426496;-0.908944;-0.244979;0.000000;2.000000
6.802589;6.566316;-0.978854;-0.197396;0.000000;2.000000
7.012319;6.776046;-0.978854;0.000000;0.000000;2.000000
7.152139;6.915866;-0.978854;-0.244979;0.000000;2.000000
7.308463;7.055686;-1.048764;-0.197396;0.000000;2.000000
7.518193;7.265416;-1.048764;0.000000;0.000000;2.000000
7.727923;7.475146;-1.048764;-0.197396;0.000000;2.000000
7.884246;7.614966;-1.118674;-0.197396;0.000000;2.000000
8.093976;7.824696;-1.118674;0.000000;0.000000;2.000000
8.233796;7.964516;-1.118674;-0.244979;0.000000;2.000000
8.390120;8.104336;-1.188584;-0.197396;0.000000;2.000000
8.599850;8.314066;-1.188584;0.000000;0.000000;2.000000
8.739670;8.453886;-1.188584;-0.244979;0.000000;2.000000
8.895993;8.593706;-1.258494;-0.197396;0.000000;2.000000
9.105723;8.803436;-1.258494;0.000000;0.000000;2.000000
9.245543;8.943256;-1.258494;-0.244979;0.000000;2.000000
9.401867;9.083076;-1.328404;-0.197396;0.000000;2.000000
9.611597;9.292806;-1.328404;0.000000;0.000000;2.000000
9.751417;9.432626;-1.328404;-0.244979;0.000000;2.000000
9.907740;9.572446;-1.398314;-0.197396;0.000000;2.000000
10.117470;9.782176;-1.398314;0.000000;0.000000;2.000000
10.257290;9.921996;-1.398314;-0.244979;0.000000;2.000000
10.413614;10.061816;-1.468224;-0.197396;0.000000;2.000000
10.623344;10.271546;-1.468224;0.000000;0.000000;2.000000
10.833074;10.481276;-1.468224;-0.197396;0.000000;2.000000
10.989397;10.621096;-1.538134;-0.197396;0.000000;2.000000
11.199127;10.830826;-1.538134;0.000000;0.000000;2.000000
11.338947;10.970646;-1.538134;-0.244979;0.000000;2.000000
11.495271;11.110466;-1.608044;-0.197396;0.000000;2.000000
