s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.067201;0.022786;1.570796;0.000000;2.000000
0.071340;-0.067201;0.094126;1.892547;0.000000;2.000000
0.230861;-0.138541;0.236806;1.768192;0.000000;2.000000
0.444881;-0.138541;0.450826;1.768192;0.000000;2.000000
0.604402;-0.209881;0.593506;1.815775;0.000000;2.000000
0.747082;-0.209881;0.736186;1.815775;0.000000;2.000000
0.906603;-0.281221;0.878866;1.768192;0.000000;2.000000
1.120623;-0.281221;1.092886;1.768192;0.000000;2.000000
1.280144;-0.352561;1.235566;1.815775;0.000000;2.000000
1.422824;-0.352561;1.378246;1.815775;0.000000;2.000000
1.582345;-0.423901;1.520926;1.815775;0.000000;2.000000
1.725025;-0.423901;1.663606;1.815775;0.000000;2.000000
1.884547;-0.495241;1.806286;1.768192;0.000000;2.000000
2.098567;-0.495241;2.020306;1.768192;0.000000;2.000000
2.258088;-0.566581;2.162986;1.815775;0.000000;2.000000
2.400768;-0.566581;2.305666;1.815775;0.000000;2.000000
2.560289;-0.637921;2.448346;1.815775;0.000000;2.000000
2.702969;-0.637921;2.591026;1.815775;0.000000;2.000000
2.862490;-0.709261;2.733706;1.768192;0.000000;2.000000
3.076510;-0.709261;2.947726;1.768192;0.000000;2.000000
3.236031;-0.780601;3.090406;1.815775;0.000000;2.000000
3.378711;-0.780601;3.233086;1.815775;0.000000;2.000000
3.538232;-0.851941;3.375766;1.815775;0.000000;2.000000
3.680912;-0.851941;3.518446;1.815775;0.000000;2.000000
3.840433;-0.923281;3.661126;1.768192;0.000000;2.000000
4.054453;-0.923281;3.875146;1.768192;0.000000;2.000000
4.213974;-0.994621;4.017826;1.815775;0.000000;2.000000
4.356654;-0.994621;4.160506;1.815775;0.000000;2.000000
4.516175;-1.065961;4.303186;1.815775;0.000000;2.000000
4.658855;-1.065961;4.445866;1.815775;0.000000;2.000000
4.818376;-1.137301;4.588546;1.768192;0.000000;2.000000
5.032396;-1.137301;4.802566;1.768192;0.000000;2.000000
5.191917;-1.208641;4.945246;1.815775;0.000000;2.000000
5.334597;-1.208641;5.087926;1.815775;0.000000;2.000000
5.494119;-1.279981;5.230606;1.815775;0.000000;2.000000
5.636799;-1.279981;5.373286;1.815775;0.000000;2.000000
5.796320;-1.351321;5.515966;1.768192;0.000000;2.000000
6.010340;-1.351321;5.729986;1.768192;0.000000;2.000000
6.169861;-1.422661;5.872666;1.815775;0.000000;2.000000
6.312541;-1.422661;6.015346;1.815775;0.000000;2.000000
6.472062;-1.494001;6.158026;1.815775;0.000000;2.000000
6.614742;-1.494001;6.300706;1.815775;0.000000;2.000000
6.774263;-1.565341;6.443386;1.768192;0.000000;2.000000
6.988283;-1.565341;6.657406;1.768192;0.000000;2.000000
7.147804;-1.636681;6.800086;1.815775;0.000000;2.000000
7.290484;-1.636681;6.942766;1.815775;0.000000;2.000000
7.450005;-1.708021;7.085446;1.815775;0.000000;2.000000
7.592685;-1.708021;7.228126;1.815775;0.000000;2.000000
7.752206;-1.779361;7.370806;1.768192;0.000000;2.000000
7.966226;-1.779361;7.584826;1.768192;0.000000;2.000000
8.125747;-1.850701;7.727506;1.815775;0.000000;2.000000
8.268427;-1.850701;7.870186;1.815775;0.000000;2.000000
8.427948;-1.922041;8.012866;1.815775;0.000000;2.000000
8.570628;-1.922041;8.155546;1.815775;0.000000;2.000000
8.730149;-1.993381;8.298226;1.768192;0.000000;2.000000
8.944169;-1.993381;8.512246;1.768192;0.000000;2.000000
9.103691;-2.064721;8.654926;1.815775;0.000000;2.000000
9.246371;-2.064721;8.797606;1.815775;0.000000;2.000000
9.405892;-2.136061;8.940286;1.768192;0.000000;2.000000
9.619912;-2.136061;9.154306;1.768192;0.000000;2.000000
9.779433;-2.207401;9.296986;1.815775;0.000000;2.000000
9.922113;-2.207401;9.439666;1.815775;0.000000;2.000000
10.081634;-2.278741;9.582346;1.815775;0.000000;2.000000
10.224314;-2.278741;9.725026;1.815775;0.000000;2.000000
10.383835;-2.350081;9.867706;1.768192;0.000000;2.000000
10.597855;-2.350081;10.081726;1.768192;0.000000;2.000000
10.757376;-2.421421;10.224406;1.815775;0.000000;2.000000
10.900056;-2.421421;10.367086;1.815775;0.000000;2.000000
11.059577;-2.492761;10.509766;1.815775;0.000000;2.000000
11.202257;-2.492761;10.652446;1.815775;0.000000;2.000000
11.361778;-2.564101;10.795126;1.768192;0.000000;2.000000
11.575798;-2.564101;11.009146;1.768192;0.000000;2.000000
11.735319;-2.635441;11.151826;1.815775;0.000000;2.000000
11.877999;-2.635441;11.294506;1.815775;0.000000;2.000000
12.037520;-2.706781;11.437186;1.815775;0.000000;2.000000
12.180200;-2.706781;11.579866;1.815775;0.000000;2.000000
12.339721;-2.778121;11.722546;1.768192;0.000000;2.000000
12.553741;-2.778121;11.936566;1.768192;0.000000;2.000000
12.713262;-2.849461;12.079246;1.815775;0.000000;2.000000
