s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.093139;0.003901;1.107149;0.000000;2.000000
0.214327;0.002711;0.195601;1.373401;0.000000;2.000000
0.501877;0.002711;0.483151;1.570796;0.000000;2.000000
0.789427;0.002711;0.770701;1.570796;0.000000;2.000000
1.076977;0.002711;1.058251;1.373401;0.000000;2.000000
1.291304;0.098561;1.249951;1.373401;0.000000;2.000000
1.578854;0.098561;1.537501;1.570796;0.000000;2.000000
1.866404;0.098561;1.825051;1.570796;0.000000;2.000000
2.058104;0.098561;2.016751;1.325818;0.000000;2.000000
2.272431;0.194411;2.208451;1.373401;0.000000;2.000000
2.559981;0.194411;2.496001;1.570796;0.000000;2.000000
2.847531;0.194411;2.783551;1.570796;0.000000;2.000000
3.039231;0.194411;2.975251;1.325818;0.000000;2.000000
3.253558;0.290261;3.166951;1.373401;0.000000;2.000000
3.541108;0.290261;3.454501;1.570796;0.000000;2.000000
3.828658;0.290261;3.742051;1.570796;0.000000;2.000000
4.020358;0.290261;3.933751;1.325818;0.000000;2.000000
4.234686;0.386111;4.125451;1.373401;0.000000;2.000000
4.522236;0.386111;4.413001;1.570796;0.000000;2.000000
4.809786;0.386111;4.700551;1.570796;0.000000;2.000000
5.001486;0.386111;4.892251;1.325818;0.000000;2.000000
5.215813;0.481961;5.083951;1.373401;0.000000;2.000000
5.503363;0.481961;5.371501;1.570796;0.000000;2.000000
5.790913;0.481961;5.659051;1.570796;0.000000;2.000000
6.078463;0.481961;5.946601;1.373401;0.000000;2.000000
6.292790;0.577811;6.138301;1.373401;0.000000;2.000000
6.580340;0.577811;6.425851;1.570796;0.000000;2.000000
6.867890;0.577811;6.713401;1.570796;0.000000;2.000000
7.059590;0.577811;6.905101;1.325818;0.000000;2.000000
7.273917;0.673661;7.096801;1.373401;0.000000;2.000000
7.561467;0.673661;7.384351;1.570796;0.000000;2.000000
7.849017;0.673661;7.671901;1.570796;0.000000;2.000000
8.040717;0.673661;7.863601;1.325818;0.000000;2.000000
8.255044;0.769511;8.055301;1.373401;0.000000;2.000000
8.542594;0.769511;8.342851;1.570796;0.000000;2.000000
8.830144;0.769511;8.630401;1.570796;0.000000;2.000000
9.021844;0.769511;8.822101;1.325818;0.000000;2.000000
9.236171;0.865361;9.013801;1.373401;0.000000;2.000000
9.523721;0.865361;9.301351;1.570796;0.000000;2.000000
9.811271;0.865361;9.588901;1.570796;0.000000;2.000000
10.002971;0.865361;9.780601;1.325818;0.000000;2.000000
10.217298;0.961211;9.972301;1.373401;0.000000;2.000000
10.504848;0.961211;10.259851;1.570796;0.000000;2.000000
10.792398;0.961211;10.547401;1.570796;0.000000;2.000000
10.984098;0.961211;10.739101;1.325818;0.000000;2.000000
11.198425;1.057061;10.930801;1.373401;0.000000;2.000000
11.485975;1.057061;11.218351;1.570796;0.000000;2.000000
11.773525;1.057061;11.505901;1.570796;0.000000;2.000000
11.965225;1.057061;11.697601;1.325818;0.000000;2.000000
12.179553;1.152911;11.889301;1.373401;0.000000;2.000000
12.467103;1.152911;12.176851;1.570796;0.000000;2.000000
12.754653;1.152911;12.464401;1.570796;0.000000;2.000000
13.042203;1.152911;12.751951;1.373401;0.000000;2.000000
13.256530;1.248761;12.943651;1.373401;0.000000;2.000000
13.544080;1.248761;13.231201;1.570796;0.000000;2.000000
13.831630;1.248761;13.518751;1.570796;0.000000;2.000000
14.023330;1.248761;13.710451;1.325818;0.000000;2.000000
14.237657;1.344611;13.902151;1.373401;0.000000;2.000000
14.525207;1.344611;14.189701;1.570796;0.000000;2.000000
14.812757;1.344611;14.477251;1.570796;0.000000;2.000000
15.004457;1.344611;14.668951;1.325818;0.000000;2.000000
15.218784;1.440461;14.860651;1.373401;0.000000;2.000000
15.506334;1.440461;15.148201;1.570796;0.000000;2.000000
15.793884;1.440461;15.435751;1.570796;0.000000;2.000000
15.985584;1.440461;15.627451;1.325818;0.000000;2.000000
16.199911;1.536311;15.819151;1.373401;0.000000;2.000000
16.487461;1.536311;16.106701;1.570796;0.000000;2.000000
16.775011;1.536311;16.394251;1.570796;0.000000;2.000000
16.966711;1.536311;16.585951;1.325818;0.000000;2.000000
17.181038;1.632161;16.777651;1.373401;0.000000;2.000000
17.468588;1.632161;17.065201;1.570796;0.000000;2.000000
17.756138;1.632161;17.352751;1.570796;0.000000;2.000000
17.947838;1.632161;17.544451;1.325818;0.000000;2.000000
18.162165;1.728011;17.736151;1.373401;0.000000;2.000000
18.449715;1.728011;18.023701;1.570796;0.000000;2.000000
18.737265;1.728011;18.311251;1.570796;0.000000;2.000000
18.928965;1.728011;18.502951;1.325818;0.000000;2.000000
19.143292;1.823861;18.694651;1.373401;0.000000;2.000000
19.430842;1.823861;18.982201;1.570796;0.000000;2.000000
19.718392;1.823861;19.269751;1.570796;0.000000;2.000000
19.910092;1.823861;19.461451;1.325818;0.000000;2.000000
20.124419;1.919711;19.653151;1.373401;0.000000;2.000000
20.411969;1.919711;19.940701;1.570796;0.000000;2.000000
20.699519;1.919711;20.228251;1.570796;0.000000;2.000000
20.891219;1.919711;20.419951;1.325818;0.000000;2.000000
21.105547;2.015561;20.611651;1.373401;0.000000;2.000000
21.393097;2.015561;20.899201;1.570796;0.000000;2.000000
21.680647;2.015561;21.186751;1.570796;0.000000;2.000000
21.968197;2.015561;21.474301;1.373401;0.000000;2.000000
22.182524;2.111411;21.666001;1.373401;0.000000;2.000000
22.470074;2.111411;21.953551;1.570796;0.000000;2.000000
22.757624;2.111411;22.241101;1.570796;0.000000;2.000000
22.949324;2.111411;22.432801;1.325818;0.000000;2.000000
23.163651;2.207261;22.624501;1.373401;0.000000;2.000000
23.451201;2.207261;22.912051;1.570796;0.000000;2.000000
23.738751;2.207261;23.199601;1.570796;0.000000;2.000000
23.930451;2.207261;23.391301;1.325818;0.000000;2.000000
24.144778;2.303111;23.583001;1.373401;0.000000;2.000000
24.432328;2.303111;23.870551;1.570796;0.000000;2.000000
24.719878;2.303111;24.158101;1.570796;0.000000;2.000000
24.911578;2.303111;24.349801;1.325818;0.000000;2.000000
25.125905;2.398961;24.541501;1.373401;0.000000;2.000000
25.413455;2.398961;24.829051;1.570796;0.000000;2.000000
25.701005;2.398961;25.116601;1.570796;0.000000;2.000000
25.892705;2.398961;25.308301;1.325818;0.000000;2.000000
26.107032;2.494811;25.500001;1.373401;0.000000;2.000000
26.394582;2.494811;25.787551;1.570796;0.000000;2.000000
26.682132;2.494811;26.075101;1.570796;0.000000;2.000000
26.873832;2.494811;26.266801;1.325818;0.000000;2.000000
27.088159;2.590661;26.458501;1.373401;0.000000;2.000000
27.375709;2.590661;26.746051;1.570796;0.000000;2.000000
27.663259;2.590661;27.033601;1.570796;0.000000;2.000000
27.854959;2.590661;27.225301;1.325818;0.000000;2.000000
28.069286;2.686511;27.417001;1.373401;0.000000;2.000000
28.356836;2.686511;27.704551;1.570796;0.000000;2.000000
28.644386;2.686511;27.992101;1.570796;0.000000;2.000000
28.836086;2.686511;28.183801;1.325818;0.000000;2.000000
29.050413;2.782361;28.375501;1.373401;0.000000;2.000000
29.337963;2.782361;28.663051;1.570796;0.000000;2.000000
29.625513;2.782361;28.950601;1.570796;0.000000;2.000000
29.913063;2.782361;29.238151;1.373401;0.000000;2.000000
30.127391;2.878211;29.429851;1.373401;0.000000;2.000000
30.414941;2.878211;29.717401;1.570796;0.000000;2.000000
30.702491;2.878211;30.004951;1.570796;0.000000;2.000000
30.990041;2.878211;30.292501;1.373401;0.000000;2.000000
31.204368;2.974061;30.484201;1.373401;0.000000;2.000000
31.491918;2.974061;30.771751;1.570796;0.000000;2.000000
31.779468;2.974061;31.059301;1.570796;0.000000;2.000000
31.971168;2.974061;31.251001;1.325818;0.000000;2.000000
32.185495;3.069911;31.442701;1.373401;0.000000;2.000000
32.473045;3.069911;31.730251;1.570796;0.000000;2.000000
32.760595;3.069911;32.017801;1.570796;0.000000;2.000000
33.048145;3.069911;32.305351;1.373401;0.000000;2.000000
33.262472;3.165761;32.497051;1.373401;0.000000;2.000000
33.550022;3.165761;32.784601;1.570796;0.000000;2.000000
33.837572;3.165761;33.072151;1.570796;0.000000;2.000000
34.125122;3.165761;33.359701;1.373401;0.000000;2.000000
34.339449;3.261611;33.551401;1.373401;0.000000;2.000000
34.626999;3.261611;33.838951;1.570796;0.000000;2.000000
34.914549;3.261611;34.126501;1.570796;0.000000;2.000000
35.202099;3.261611;34.414051;1.373401;0.000000;2.000000
35.416426;3.357461;34.605751;1.373401;0.000000;2.000000
35.703976;3.357461;34.893301;1.570796;0.000000;2.000000
35.991526;3.357461;35.180851;1.570796;0.000000;2.000000
36.279076;3.357461;35.468401;1.373401;0.000000;2.000000
36.493403;3.453311;35.660101;1.373401;0.000000;2.000000
36.780953;3.453311;35.947651;1.570796;0.000000;2.000000
37.068503;3.453311;36.235201;1.570796;0.000000;2.000000
37.356053;3.453311;36.522751;1.373401;0.000000;2.000000
37.570380;3.549161;36.714451;1.373401;0.000000;2.000000
37.857930;3.549161;37.002001;1.570796;0.000000;2.000000
38.145480;3.549161;37.289551;1.570796;0.000000;2.000000
38.433030;3.549161;37.577101;1.570796;0.000000;2.000000
38.528880;3.549161;37.672951;1.249046;0.000000;2.000000
38.743208;3.645011;37.864651;1.373401;0.000000;2.000000
39.030758;3.645011;38.152201;1.570796;0.000000;2.000000
39.318308;3.645011;38.439751;1.570796;0.000000;2.000000
39.605858;3.645011;38.727301;1.373401;0.000000;2.000000
39.820185;3.740861;38.919001;1.373401;0.000000;2.000000
40.107735;3.740861;39.206551;1.570796;0.000000;2.000000
40.395285;3.740861;39.494101;1.570796;0.000000;2.000000
40.682835;3.740861;39.781651;1.570796;0.000000;2.000000
40.778685;3.740861;39.877501;1.249046;0.000000;2.000000
