s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.041661;-0.004289;-1.570796;0.000000;2.000000
0.055400;-0.041661;-0.059689;-1.570796;0.000000;2.000000
0.221600;-0.041661;-0.225889;-1.570796;0.000000;2.000000
0.277000;-0.041661;-0.281289;-1.892547;0.000000;2.000000
0.400878;-0.097061;-0.392089;-1.768192;0.000000;2.000000
0.567078;-0.097061;-0.558289;-1.570796;0.000000;2.000000
0.733278;-0.097061;-0.724489;-1.570796;0.000000;2.000000
0.788678;-0.097061;-0.779889;-1.892547;0.000000;2.000000
0.912556;-0.152461;-0.890689;-1.768192;0.000000;2.000000
1.078756;-0.152461;-1.056889;-1.570796;0.000000;2.000000
1.244956;-0.152461;-1.223089;-1.570796;0.000000;2.000000
1.300356;-0.152461;-1.278489;-1.892547;0.000000;2.000000
1.424234;-0.207861;-1.389289;-1.768192;0.000000;2.000000
1.590434;-0.207861;-1.555489;-1.570796;0.000000;2.000000
1.756634;-0.207861;-1.721689;-1.570796;0.000000;2.000000
1.812034;-0.207861;-1.777089;-1.892547;0.000000;2.000000
1.935913;-0.263261;-1.887889;-1.768192;0.000000;2.000000
2.102113;-0.263261;-2.054089;-1.570796;0.000000;2.000000
2.268313;-0.263261;-2.220289;-1.570796;0.000000;2.000000
2.323713;-0.263261;-2.275689;-1.892547;0.000000;2.000000
2.447591;-0.318661;-2.386489;-1.768192;0.000000;2.000000
2.613791;-0.318661;-2.552689;-1.570796;0.000000;2.000000
2.779991;-0.318661;-2.718889;-1.570796;0.000000;2.000000
2.835391;-0.318661;-2.774289;-1.892547;0.000000;2.000000
2.959269;-0.374061;-2.885089;-1.768192;0.000000;2.000000
3.125469;-0.374061;-3.051289;-1.570796;0.000000;2.000000
3.291669;-0.374061;-3.217489;-1.570796;0.000000;2.000000
3.347069;-0.374061;-3.272889;-1.892547;0.000000;2.000000
3.470947;-0.429461;-3.383689;-1.768192;0.000000;2.000000
3.637147;-0.429461;-3.549889;-1.570796;0.000000;2.000000
3.803347;-0.429461;-3.716089;-1.570796;0.000000;2.000000
3.858747;-0.429461;-3.771489;-1.892547;0.000000;2.000000
3.982625;-0.484861;-3.882289;-1.768192;0.000000;2.000000
4.148825;-0.484861;-4.048489;-1.570796;0.000000;2.000000
4.315025;-0.484861;-4.214689;-1.570796;0.000000;2.000000
4.425825;-0.484861;-4.325489;-1.815775;0.000000;2.000000
4.549703;-0.540261;-4.436289;-1.768192;0.000000;2.000000
4.715903;-0.540261;-4.602489;-1.570796;0.000000;2.000000
4.882103;-0.540261;-4.768689;-1.570796;0.000000;2.000000
4.937503;-0.540261;-4.824089;-1.892547;0.000000;2.000000
5.061382;-0.595661;-4.934889;-1.768192;0.000000;2.000000
5.227582;-0.595661;-5.101089;-1.570796;0.000000;2.000000
5.393782;-0.595661;-5.267289;-1.570796;0.000000;2.000000
5.449182;-0.595661;-5.322689;-1.892547;0.000000;2.000000
5.573060;-0.651061;-5.433489;-1.768192;0.000000;2.000000
5.739260;-0.651061;-5.599689;-1.570796;0.000000;2.000000
