s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.008156;0.030698;0.463648;0.000000;2.000000
0.168644;0.158996;0.106118;0.643501;0.000000;2.000000
0.381964;0.309836;0.256958;0.785398;0.000000;2.000000
0.595284;0.460676;0.407798;0.785398;0.000000;2.000000
0.808604;0.611516;0.558638;0.785398;0.000000;2.000000
1.021924;0.762356;0.709478;0.785398;0.000000;2.000000
1.235244;0.913196;0.860318;0.785398;0.000000;2.000000
1.448564;1.064036;1.011158;0.785398;0.000000;2.000000
1.661884;1.214876;1.161998;0.785398;0.000000;2.000000
1.875204;1.365716;1.312838;0.785398;0.000000;2.000000
2.088524;1.516556;1.463678;0.785398;0.000000;2.000000
2.301844;1.667396;1.614518;0.785398;0.000000;2.000000
2.515164;1.818236;1.765358;0.643501;0.000000;2.000000
2.683808;1.969076;1.840778;0.643501;0.000000;2.000000
2.897128;2.119916;1.991618;0.785398;0.000000;2.000000
3.110448;2.270756;2.142458;0.785398;0.000000;2.000000
3.323768;2.421596;2.293298;0.785398;0.000000;2.000000
3.537088;2.572436;2.444138;0.785398;0.000000;2.000000
3.750408;2.723276;2.594978;0.785398;0.000000;2.000000
3.963728;2.874116;2.745818;0.785398;0.000000;2.000000
4.177048;3.024956;2.896658;0.785398;0.000000;2.000000
4.390368;3.175796;3.047498;0.785398;0.000000;2.000000
4.603688;3.326636;3.198338;0.785398;0.000000;2.000000
4.817008;3.477476;3.349178;0.785398;0.000000;2.000000
4.923668;3.552896;3.424598;0.588003;0.000000;2.000000
5.092312;3.703736;3.500018;0.643501;0.000000;2.000000
5.305632;3.854576;3.650858;0.785398;0.000000;2.000000
5.518952;4.005416;3.801698;0.785398;0.000000;2.000000
5.732272;4.156256;3.952538;0.785398;0.000000;2.000000
5.945592;4.307096;4.103378;0.785398;0.000000;2.000000
6.158912;4.457936;4.254218;0.785398;0.000000;2.000000
6.372232;4.608776;4.405058;0.785398;0.000000;2.000000
6.585552;4.759616;4.555898;0.785398;0.000000;2.000000
6.798872;4.910456;4.706738;0.785398;0.000000;2.000000
7.012192;5.061296;4.857578;0.785398;0.000000;2.000000
7.225512;5.212136;5.008418;0.785398;0.000000;2.000000
7.332172;5.287556;5.083838;0.588003;0.000000;2.000000
7.500816;5.438396;5.159258;0.643501;0.000000;2.000000
7.714136;5.589236;5.310098;0.785398;0.000000;2.000000
7.927456;5.740076;5.460938;0.785398;0.000000;2.000000
8.140776;5.890916;5.611778;0.785398;0.000000;2.000000
