s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.014602;-0.034891;0.000000;0.000000;2.000000
0.085900;0.071298;-0.034891;-0.244979;0.000000;2.000000
0.181939;0.157198;-0.077841;-0.244979;0.000000;2.000000
0.267839;0.243098;-0.077841;-0.244979;0.000000;2.000000
0.363878;0.328998;-0.120791;-0.463648;0.000000;2.000000
0.459917;0.414898;-0.163741;-0.197396;0.000000;2.000000
0.588767;0.543748;-0.163741;-0.197396;0.000000;2.000000
0.684806;0.629648;-0.206691;-0.463648;0.000000;2.000000
0.780846;0.715548;-0.249641;-0.244979;0.000000;2.000000
0.866746;0.801448;-0.249641;-0.244979;0.000000;2.000000
0.962785;0.887348;-0.292591;-0.244979;0.000000;2.000000
1.048685;0.973248;-0.292591;-0.244979;0.000000;2.000000
1.144724;1.059148;-0.335541;-0.463648;0.000000;2.000000
1.240763;1.145048;-0.378491;-0.197396;0.000000;2.000000
1.369613;1.273898;-0.378491;-0.197396;0.000000;2.000000
1.465652;1.359798;-0.421441;-0.463648;0.000000;2.000000
1.561691;1.445698;-0.464391;-0.197396;0.000000;2.000000
1.690541;1.574548;-0.464391;-0.197396;0.000000;2.000000
1.786580;1.660448;-0.507341;-0.463648;0.000000;2.000000
1.882619;1.746348;-0.550291;-0.244979;0.000000;2.000000
1.968519;1.832248;-0.550291;-0.244979;0.000000;2.000000
2.064559;1.918148;-0.593241;-0.244979;0.000000;2.000000
2.150459;2.004048;-0.593241;-0.244979;0.000000;2.000000
2.246498;2.089948;-0.636191;-0.463648;0.000000;2.000000
2.342537;2.175848;-0.679141;-0.197396;0.000000;2.000000
2.471387;2.304698;-0.679141;-0.197396;0.000000;2.000000
2.567426;2.390598;-0.722091;-0.463648;0.000000;2.000000
2.663465;2.476498;-0.765041;-0.197396;0.000000;2.000000
2.792315;2.605348;-0.765041;-0.197396;0.000000;2.000000
2.888354;2.691248;-0.807991;-0.463648;0.000000;2.000000
2.984393;2.777148;-0.850941;-0.244979;0.000000;2.000000
3.070293;2.863048;-0.850941;-0.244979;0.000000;2.000000
3.166332;2.948948;-0.893891;-0.244979;0.000000;2.000000
3.252232;3.034848;-0.893891;-0.244979;0.000000;2.000000
3.348272;3.120748;-0.936841;-0.463648;0.000000;2.000000
3.444311;3.206648;-0.979791;-0.197396;0.000000;2.000000
3.573161;3.335498;-0.979791;-0.197396;0.000000;2.000000
3.669200;3.421398;-1.022741;-0.463648;0.000000;2.000000
3.765239;3.507298;-1.065691;-0.197396;0.000000;2.000000
3.894089;3.636148;-1.065691;-0.197396;0.000000;2.000000
3.990128;3.722048;-1.108641;-0.463648;0.000000;2.000000
