s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.026088;-0.016520;1.570796;0.000000;2.000000
0.170850;-0.026088;0.154330;1.570796;0.000000;2.000000
0.341700;-0.026088;0.325180;1.570796;0.000000;2.000000
0.512550;-0.026088;0.496030;1.570796;0.000000;2.000000
0.683400;-0.026088;0.666880;1.570796;0.000000;2.000000
0.854250;-0.026088;0.837730;1.570796;0.000000;2.000000
1.025100;-0.026088;1.008580;1.373401;0.000000;2.000000
1.152444;0.030862;1.122480;1.373401;0.000000;2.000000
1.323294;0.030862;1.293330;1.570796;0.000000;2.000000
1.494144;0.030862;1.464180;1.570796;0.000000;2.000000
1.664994;0.030862;1.635030;1.570796;0.000000;2.000000
1.835844;0.030862;1.805880;1.570796;0.000000;2.000000
2.006694;0.030862;1.976730;1.570796;0.000000;2.000000
2.177544;0.030862;2.147580;1.570796;0.000000;2.000000
2.348394;0.030862;2.318430;1.373401;0.000000;2.000000
2.475738;0.087812;2.432330;1.373401;0.000000;2.000000
2.646588;0.087812;2.603180;1.570796;0.000000;2.000000
2.817438;0.087812;2.774030;1.570796;0.000000;2.000000
2.988288;0.087812;2.944880;1.570796;0.000000;2.000000
3.159138;0.087812;3.115730;1.570796;0.000000;2.000000
3.329988;0.087812;3.286580;1.570796;0.000000;2.000000
3.500838;0.087812;3.457430;1.570796;0.000000;2.000000
3.614738;0.087812;3.571330;1.325818;0.000000;2.000000
3.742082;0.144762;3.685230;1.373401;0.000000;2.000000
3.912932;0.144762;3.856080;1.570796;0.000000;2.000000
4.083782;0.144762;4.026930;1.570796;0.000000;2.000000
4.254632;0.144762;4.197780;1.570796;0.000000;2.000000
4.425482;0.144762;4.368630;1.570796;0.000000;2.000000
4.596332;0.144762;4.539480;1.570796;0.000000;2.000000
4.767182;0.144762;4.710330;1.570796;0.000000;2.000000
4.881082;0.144762;4.824230;1.325818;0.000000;2.000000
5.008426;0.201712;4.938130;1.373401;0.000000;2.000000
5.179276;0.201712;5.108980;1.570796;0.000000;2.000000
5.350126;0.201712;5.279830;1.570796;0.000000;2.000000
5.520976;0.201712;5.450680;1.570796;0.000000;2.000000
5.691826;0.201712;5.621530;1.570796;0.000000;2.000000
5.862676;0.201712;5.792380;1.570796;0.000000;2.000000
6.033526;0.201712;5.963230;1.570796;0.000000;2.000000
6.147426;0.201712;6.077130;1.325818;0.000000;2.000000
6.274770;0.258662;6.191030;1.373401;0.000000;2.000000
6.445620;0.258662;6.361880;1.570796;0.000000;2.000000
6.616470;0.258662;6.532730;1.570796;0.000000;2.000000
6.787320;0.258662;6.703580;1.570796;0.000000;2.000000
6.958170;0.258662;6.874430;1.570796;0.000000;2.000000
7.129020;0.258662;7.045280;1.570796;0.000000;2.000000
7.299870;0.258662;7.216130;1.570796;0.000000;2.000000
7.413770;0.258662;7.330030;1.325818;0.000000;2.000000
7.541114;0.315612;7.443930;1.373401;0.000000;2.000000
7.711964;0.315612;7.614780;1.570796;0.000000;2.000000
7.882814;0.315612;7.785630;1.570796;0.000000;2.000000
8.053664;0.315612;7.956480;1.570796;0.000000;2.000000
8.224514;0.315612;8.127330;1.570796;0.000000;2.000000
8.395364;0.315612;8.298180;1.570796;0.000000;2.000000
8.566214;0.315612;8.469030;1.570796;0.000000;2.000000
8.680114;0.315612;8.582930;1.325818;0.000000;2.000000
8.807458;0.372562;8.696830;1.373401;0.000000;2.000000
8.978308;0.372562;8.867680;1.570796;0.000000;2.000000
9.149158;0.372562;9.038530;1.570796;0.000000;2.000000
9.320008;0.372562;9.209380;1.570796;0.000000;2.000000
9.490858;0.372562;9.380230;1.570796;0.000000;2.000000
9.661708;0.372562;9.551080;1.570796;0.000000;2.000000
9.832558;0.372562;9.721930;1.570796;0.000000;2.000000
9.946458;0.372562;9.835830;1.325818;0.000000;2.000000
10.073803;0.429512;9.949730;1.373401;0.000000;2.000000
