s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.043641;-0.008434;-1.107149;0.000000;2.000000
0.109053;0.005129;-0.105974;-1.325818;0.000000;2.000000
0.206593;0.005129;-0.203514;-1.325818;0.000000;2.000000
0.315646;0.053899;-0.301054;-1.325818;0.000000;2.000000
0.413186;0.053899;-0.398594;-1.325818;0.000000;2.000000
0.522239;0.102669;-0.496134;-1.325818;0.000000;2.000000
0.619779;0.102669;-0.593674;-1.325818;0.000000;2.000000
0.728832;0.151439;-0.691214;-1.325818;0.000000;2.000000
0.826372;0.151439;-0.788754;-1.325818;0.000000;2.000000
0.935425;0.200209;-0.886294;-1.325818;0.000000;2.000000
1.032965;0.200209;-0.983834;-1.325818;0.000000;2.000000
1.142018;0.248979;-1.081374;-1.325818;0.000000;2.000000
1.239558;0.248979;-1.178914;-1.325818;0.000000;2.000000
1.348611;0.297749;-1.276454;-1.325818;0.000000;2.000000
1.446151;0.297749;-1.373994;-1.325818;0.000000;2.000000
1.555204;0.346519;-1.471534;-1.325818;0.000000;2.000000
1.652744;0.346519;-1.569074;-1.325818;0.000000;2.000000
1.761797;0.395289;-1.666614;-1.325818;0.000000;2.000000
1.859337;0.395289;-1.764154;-1.325818;0.000000;2.000000
1.968390;0.444059;-1.861694;-1.325818;0.000000;2.000000
2.065930;0.444059;-1.959234;-1.325818;0.000000;2.000000
2.174983;0.492829;-2.056774;-1.325818;0.000000;2.000000
2.272523;0.492829;-2.154314;-1.325818;0.000000;2.000000
2.381576;0.541599;-2.251854;-1.325818;0.000000;2.000000
2.479116;0.541599;-2.349394;-1.325818;0.000000;2.000000
2.588169;0.590369;-2.446934;-1.107149;0.000000;2.000000
2.697222;0.639139;-2.544474;-1.373401;0.000000;2.000000
2.843532;0.639139;-2.690784;-1.373401;0.000000;2.000000
2.952586;0.687909;-2.788324;-1.325818;0.000000;2.000000
3.050126;0.687909;-2.885864;-1.325818;0.000000;2.000000
3.159179;0.736679;-2.983404;-1.325818;0.000000;2.000000
3.256719;0.736679;-3.080944;-1.325818;0.000000;2.000000
3.365772;0.785449;-3.178484;-1.325818;0.000000;2.000000
3.463312;0.785449;-3.276024;-1.325818;0.000000;2.000000
3.572365;0.834219;-3.373564;-1.325818;0.000000;2.000000
3.669905;0.834219;-3.471104;-1.325818;0.000000;2.000000
3.778958;0.882989;-3.568644;-1.325818;0.000000;2.000000
3.876498;0.882989;-3.666184;-1.325818;0.000000;2.000000
3.985551;0.931759;-3.763724;-1.325818;0.000000;2.000000
4.083091;0.931759;-3.861264;-1.325818;0.000000;2.000000
4.192144;0.980529;-3.958804;-1.107149;0.000000;2.000000
4.301197;1.029299;-4.056344;-1.373401;0.000000;2.000000
4.447507;1.029299;-4.202654;-1.373401;0.000000;2.000000
4.556560;1.078069;-4.300194;-1.325818;0.000000;2.000000
4.654100;1.078069;-4.397734;-1.325818;0.000000;2.000000
4.763153;1.126839;-4.495274;-1.325818;0.000000;2.000000
4.860693;1.126839;-4.592814;-1.325818;0.000000;2.000000
4.969746;1.175609;-4.690354;-1.325818;0.000000;2.000000
5.067286;1.175609;-4.787894;-1.325818;0.000000;2.000000
5.176339;1.224379;-4.885434;-1.107149;0.000000;2.000000
5.285392;1.273149;-4.982974;-1.373401;0.000000;2.000000
5.431702;1.273149;-5.129284;-1.373401;0.000000;2.000000
5.540755;1.321919;-5.226824;-1.325818;0.000000;2.000000
5.638295;1.321919;-5.324364;-1.325818;0.000000;2.000000
5.747348;1.370689;-5.421904;-1.107149;0.000000;2.000000
5.856401;1.419459;-5.519444;-1.373401;0.000000;2.000000
6.002711;1.419459;-5.665754;-1.373401;0.000000;2.000000
6.111764;1.468229;-5.763294;-1.107149;0.000000;2.000000
6.220817;1.516999;-5.860834;-1.373401;0.000000;2.000000
6.367127;1.516999;-6.007144;-1.373401;0.000000;2.000000
6.476180;1.565769;-6.104684;-1.325818;0.000000;2.000000
6.573720;1.565769;-6.202224;-1.325818;0.000000;2.000000
6.682773;1.614539;-6.299764;-1.107149;0.000000;2.000000
6.791826;1.663309;-6.397304;-1.373401;0.000000;2.000000
6.938136;1.663309;-6.543614;-1.373401;0.000000;2.000000
7.047189;1.712079;-6.641154;-1.325818;0.000000;2.000000
7.144729;1.712079;-6.738694;-1.325818;0.000000;2.000000
7.253782;1.760849;-6.836234;-1.107149;0.000000;2.000000
7.362835;1.809619;-6.933774;-1.373401;0.000000;2.000000
7.509145;1.809619;-7.080084;-1.373401;0.000000;2.000000
7.618198;1.858389;-7.177624;-1.107149;0.000000;2.000000
7.727251;1.907159;-7.275164;-1.373401;0.000000;2.000000
7.873561;1.907159;-7.421474;-1.373401;0.000000;2.000000
7.982614;1.955929;-7.519014;-1.325818;0.000000;2.000000
8.080154;1.955929;-7.616554;-1.325818;0.000000;2.000000
8.189207;2.004699;-7.714094;-1.107149;0.000000;2.000000
8.298261;2.053469;-7.811634;-1.373401;0.000000;2.000000
8.444571;2.053469;-7.957944;-1.373401;0.000000;2.000000
8.553624;2.102239;-8.055484;-1.325818;0.000000;2.000000
8.651164;2.102239;-8.153024;-1.325818;0.000000;2.000000
8.760217;2.151009;-8.250564;-1.107149;0.000000;2.000000
8.869270;2.199779;-8.348104;-1.373401;0.000000;2.000000
9.015580;2.199779;-8.494414;-1.373401;0.000000;2.000000
9.124633;2.248549;-8.591954;-1.107149;0.000000;2.000000
9.233686;2.297319;-8.689494;-1.373401;0.000000;2.000000
9.379996;2.297319;-8.835804;-1.373401;0.000000;2.000000
9.489049;2.346089;-8.933344;-1.325818;0.000000;2.000000
9.586589;2.346089;-9.030884;-1.325818;0.000000;2.000000
9.695642;2.394859;-9.128424;-1.107149;0.000000;2.000000
