s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.002092;-0.012528;0.000000;0.000000;2.000000
0.178320;0.180412;-0.012528;0.000000;0.000000;2.000000
0.297200;0.299292;-0.012528;0.244979;0.000000;2.000000
0.430112;0.418172;0.046912;0.197396;0.000000;2.000000
0.608432;0.596492;0.046912;0.000000;0.000000;2.000000
0.786752;0.774812;0.046912;0.000000;0.000000;2.000000
0.965072;0.953132;0.046912;0.000000;0.000000;2.000000
1.024512;1.012572;0.046912;0.321751;0.000000;2.000000
1.157424;1.131452;0.106352;0.197396;0.000000;2.000000
1.335744;1.309772;0.106352;0.000000;0.000000;2.000000
1.514064;1.488092;0.106352;0.000000;0.000000;2.000000
1.692384;1.666412;0.106352;0.197396;0.000000;2.000000
1.825296;1.785292;0.165792;0.197396;0.000000;2.000000
2.003616;1.963612;0.165792;0.000000;0.000000;2.000000
2.181936;2.141932;0.165792;0.000000;0.000000;2.000000
2.360256;2.320252;0.165792;0.000000;0.000000;2.000000
2.419696;2.379692;0.165792;0.321751;0.000000;2.000000
2.552608;2.498572;0.225232;0.197396;0.000000;2.000000
2.730928;2.676892;0.225232;0.000000;0.000000;2.000000
2.909248;2.855212;0.225232;0.000000;0.000000;2.000000
3.087568;3.033532;0.225232;0.000000;0.000000;2.000000
3.147008;3.092972;0.225232;0.321751;0.000000;2.000000
3.279919;3.211852;0.284672;0.197396;0.000000;2.000000
3.458239;3.390172;0.284672;0.000000;0.000000;2.000000
3.636559;3.568492;0.284672;0.000000;0.000000;2.000000
3.814879;3.746812;0.284672;0.197396;0.000000;2.000000
3.947791;3.865692;0.344112;0.197396;0.000000;2.000000
4.126111;4.044012;0.344112;0.000000;0.000000;2.000000
4.304431;4.222332;0.344112;0.000000;0.000000;2.000000
4.482751;4.400652;0.344112;0.000000;0.000000;2.000000
4.542191;4.460092;0.344112;0.321751;0.000000;2.000000
4.675103;4.578972;0.403552;0.197396;0.000000;2.000000
4.853423;4.757292;0.403552;0.000000;0.000000;2.000000
5.031743;4.935612;0.403552;0.000000;0.000000;2.000000
5.210063;5.113932;0.403552;0.000000;0.000000;2.000000
5.269503;5.173372;0.403552;0.321751;0.000000;2.000000
5.402415;5.292252;0.462992;0.197396;0.000000;2.000000
5.580735;5.470572;0.462992;0.000000;0.000000;2.000000
5.759055;5.648892;0.462992;0.000000;0.000000;2.000000
5.937375;5.827212;0.462992;0.197396;0.000000;2.000000
6.070287;5.946092;0.522432;0.197396;0.000000;2.000000
6.248607;6.124412;0.522432;0.000000;0.000000;2.000000
6.426927;6.302732;0.522432;0.000000;0.000000;2.000000
6.605247;6.481052;0.522432;0.000000;0.000000;2.000000
6.664687;6.540492;0.522432;0.321751;0.000000;2.000000
6.797599;6.659372;0.581872;0.197396;0.000000;2.000000
6.975919;6.837692;0.581872;0.000000;0.000000;2.000000
7.154239;7.016012;0.581872;0.000000;0.000000;2.000000
7.332559;7.194332;0.581872;0.197396;0.000000;2.000000
7.465471;7.313212;0.641312;0.197396;0.000000;2.000000
7.643791;7.491532;0.641312;0.000000;0.000000;2.000000
7.822111;7.669852;0.641312;0.000000;0.000000;2.000000
8.000431;7.848172;0.641312;0.000000;0.000000;2.000000
8.059871;7.907612;0.641312;0.321751;0.000000;2.000000
8.192783;8.026492;0.700752;0.197396;0.000000;2.000000
8.371103;8.204812;0.700752;0.000000;0.000000;2.000000
8.549423;8.383132;0.700752;0.000000;0.000000;2.000000
8.727743;8.561452;0.700752;0.000000;0.000000;2.000000
8.787183;8.620892;0.700752;0.321751;0.000000;2.000000
8.920094;8.739772;0.760192;0.197396;0.000000;2.000000
9.098414;8.918092;0.760192;0.000000;0.000000;2.000000
9.276734;9.096412;0.760192;0.000000;0.000000;2.000000
9.455054;9.274732;0.760192;0.197396;0.000000;2.000000
9.587966;9.393612;0.819632;0.197396;0.000000;2.000000
9.766286;9.571932;0.819632;0.000000;0.000000;2.000000
9.944606;9.750252;0.819632;0.000000;0.000000;2.000000
10.122926;9.928572;0.819632;0.197396;0.000000;2.000000
10.255838;10.047452;0.879072;0.197396;0.000000;2.000000
10.434158;10.225772;0.879072;0.000000;0.000000;2.000000
10.612478;10.404092;0.879072;0.000000;0.000000;2.000000
10.790798;10.582412;0.879072;0.000000;0.000000;2.000000
10.850238;10.641852;0.879072;0.321751;0.000000;2.000000
10.983150;10.760732;0.938512;0.197396;0.000000;2.000000
11.161470;10.939052;0.938512;0.000000;0.000000;2.000000
11.339790;11.117372;0.938512;0.000000;0.000000;2.000000
11.518110;11.295692;0.938512;0.197396;0.000000;2.000000
11.651022;11.414572;0.997952;0.197396;0.000000;2.000000
11.829342;11.592892;0.997952;0.000000;0.000000;2.000000
12.007662;11.771212;0.997952;0.000000;0.000000;2.000000
12.185982;11.949532;0.997952;0.197396;0.000000;2.000000
12.318894;12.068412;1.057392;0.197396;0.000000;2.000000
12.497214;12.246732;1.057392;0.000000;0.000000;2.000000
12.675534;12.425052;1.057392;0.000000;0.000000;2.000000
12.853854;12.603372;1.057392;0.000000;0.000000;2.000000
12.913294;12.662812;1.057392;0.321751;0.000000;2.000000
13.046206;12.781692;1.116832;0.197396;0.000000;2.000000
13.224526;12.960012;1.116832;0.000000;0.000000;2.000000
13.402846;13.138332;1.116832;0.000000;0.000000;2.000000
13.581166;13.316652;1.116832;0.197396;0.000000;2.000000
13.714078;13.435532;1.176272;0.197396;0.000000;2.000000
13.892398;13.613852;1.176272;0.000000;0.000000;2.000000
14.070718;13.792172;1.176272;0.000000;0.000000;2.000000
14.249038;13.970492;1.176272;0.197396;0.000000;2.000000
14.381949;14.089372;1.235712;0.197396;0.000000;2.000000
14.560269;14.267692;1.235712;0.000000;0.000000;2.000000
14.738589;14.446012;1.235712;0.000000;0.000000;2.000000
14.916909;14.624332;1.235712;0.000000;0.000000;2.000000
14.976349;14.683772;1.235712;0.321751;0.000000;2.000000
15.109261;14.802652;1.295152;0.197396;0.000000;2.000000
15.287581;14.980972;1.295152;0.000000;0.000000;2.000000
15.465901;15.159292;1.295152;0.000000;0.000000;2.000000
15.644221;15.337612;1.295152;0.197396;0.000000;2.000000
15.777133;15.456492;1.354592;0.197396;0.000000;2.000000
15.955453;15.634812;1.354592;0.000000;0.000000;2.000000
16.133773;15.813132;1.354592;0.000000;0.000000;2.000000
16.312093;15.991452;1.354592;0.197396;0.000000;2.000000
16.445005;16.110332;1.414032;0.197396;0.000000;2.000000
16.623325;16.288652;1.414032;0.000000;0.000000;2.000000
16.801645;16.466972;1.414032;0.000000;0.000000;2.000000
16.979965;16.645292;1.414032;0.197396;0.000000;2.000000
17.112877;16.764172;1.473472;0.197396;0.000000;2.000000
17.291197;16.942492;1.473472;0.000000;0.000000;2.000000
17.469517;17.120812;1.473472;0.000000;0.000000;2.000000
17.647837;17.299132;1.473472;0.197396;0.000000;2.000000
17.780749;17.418012;1.532912;0.197396;0.000000;2.000000
17.959069;17.596332;1.532912;0.000000;0.000000;2.000000
18.137389;17.774652;1.532912;0.000000;0.000000;2.000000
18.315709;17.952972;1.532912;0.197396;0.000000;2.000000
18.448621;18.071852;1.592352;0.197396;0.000000;2.000000
18.626941;18.250172;1.592352;0.000000;0.000000;2.000000
18.805261;18.428492;1.592352;0.000000;0.000000;2.000000
18.983581;18.606812;1.592352;0.197396;0.000000;2.000000
19.116493;18.725692;1.651792;0.197396;0.000000;2.000000
19.294813;18.904012;1.651792;0.000000;0.000000;2.000000
19.473133;19.082332;1.651792;0.000000;0.000000;2.000000
19.651453;19.260652;1.651792;0.197396;0.000000;2.000000
19.784365;19.379532;1.711232;0.197396;0.000000;2.000000
19.962685;19.557852;1.711232;0.000000;0.000000;2.000000
20.141005;19.736172;1.711232;0.000000;0.000000;2.000000
20.319325;19.914492;1.711232;0.197396;0.000000;2.000000
20.452236;20.033372;1.770672;0.197396;0.000000;2.000000
20.630556;20.211692;1.770672;0.000000;0.000000;2.000000
20.808876;20.390012;1.770672;0.000000;0.000000;2.000000
20.987196;20.568332;1.770672;0.197396;0.000000;2.000000
21.120108;20.687212;1.830112;0.197396;0.000000;2.000000
21.298428;20.865532;1.830112;0.000000;0.000000;2.000000
21.476748;21.043852;1.830112;0.000000;0.000000;2.000000
21.655068;21.222172;1.830112;0.197396;0.000000;2.000000
21.787980;21.341052;1.889552;0.197396;0.000000;2.000000
21.966300;21.519372;1.889552;0.000000;0.000000;2.000000
22.144620;21.697692;1.889552;0.000000;0.000000;2.000000
