s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.010185;0.019069;0.000000;0.000000;2.000000
0.195150;0.184965;0.019069;0.000000;0.000000;2.000000
0.260200;0.250015;0.019069;0.321751;0.000000;2.000000
0.405656;0.380115;0.084119;0.197396;0.000000;2.000000
0.600806;0.575265;0.084119;0.197396;0.000000;2.000000
0.746262;0.705365;0.149169;0.197396;0.000000;2.000000
0.941412;0.900515;0.149169;0.197396;0.000000;2.000000
1.086869;1.030615;0.214219;0.244979;0.000000;2.000000
1.216969;1.160715;0.214219;0.244979;0.000000;2.000000
1.362425;1.290815;0.279269;0.197396;0.000000;2.000000
1.557575;1.485965;0.279269;0.197396;0.000000;2.000000
1.703031;1.616065;0.344319;0.197396;0.000000;2.000000
1.898181;1.811215;0.344319;0.197396;0.000000;2.000000
2.043637;1.941315;0.409369;0.244979;0.000000;2.000000
2.173737;2.071415;0.409369;0.244979;0.000000;2.000000
2.319194;2.201515;0.474419;0.197396;0.000000;2.000000
2.514344;2.396665;0.474419;0.197396;0.000000;2.000000
2.659800;2.526765;0.539469;0.197396;0.000000;2.000000
2.854950;2.721915;0.539469;0.197396;0.000000;2.000000
3.000406;2.852015;0.604519;0.244979;0.000000;2.000000
3.130506;2.982115;0.604519;0.244979;0.000000;2.000000
3.275962;3.112215;0.669569;0.197396;0.000000;2.000000
3.471112;3.307365;0.669569;0.197396;0.000000;2.000000
3.616568;3.437465;0.734619;0.197396;0.000000;2.000000
3.811718;3.632615;0.734619;0.197396;0.000000;2.000000
3.957175;3.762715;0.799669;0.244979;0.000000;2.000000
4.087275;3.892815;0.799669;0.244979;0.000000;2.000000
4.232731;4.022915;0.864719;0.197396;0.000000;2.000000
4.427881;4.218065;0.864719;0.197396;0.000000;2.000000
4.573337;4.348165;0.929769;0.197396;0.000000;2.000000
4.768487;4.543315;0.929769;0.197396;0.000000;2.000000
4.913943;4.673415;0.994819;0.244979;0.000000;2.000000
5.044043;4.803515;0.994819;0.244979;0.000000;2.000000
5.189500;4.933615;1.059869;0.197396;0.000000;2.000000
5.384650;5.128765;1.059869;0.197396;0.000000;2.000000
5.530106;5.258865;1.124919;0.244979;0.000000;2.000000
5.660206;5.388965;1.124919;0.244979;0.000000;2.000000
5.805662;5.519065;1.189969;0.197396;0.000000;2.000000
6.000812;5.714215;1.189969;0.197396;0.000000;2.000000
6.146268;5.844315;1.255019;0.244979;0.000000;2.000000
6.276368;5.974415;1.255019;0.244979;0.000000;2.000000
6.421824;6.104515;1.320069;0.197396;0.000000;2.000000
6.616974;6.299665;1.320069;0.197396;0.000000;2.000000
6.762431;6.429765;1.385119;0.244979;0.000000;2.000000
6.892531;6.559865;1.385119;0.244979;0.000000;2.000000
7.037987;6.689965;1.450169;0.197396;0.000000;2.000000
7.233137;6.885115;1.450169;0.197396;0.000000;2.000000
7.378593;7.015215;1.515219;0.197396;0.000000;2.000000
7.573743;7.210365;1.515219;0.197396;0.000000;2.000000
7.719199;7.340465;1.580269;0.244979;0.000000;2.000000
7.849299;7.470565;1.580269;0.244979;0.000000;2.000000
