s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.020661;-0.016524;1.107149;0.000000;2.000000
0.172446;0.056459;0.137716;0.927295;0.000000;2.000000
0.390574;0.210699;0.291956;0.927295;0.000000;2.000000
0.563019;0.287819;0.446196;0.927295;0.000000;2.000000
0.781148;0.442059;0.600436;0.927295;0.000000;2.000000
0.953593;0.519179;0.754676;1.107149;0.000000;2.000000
1.126039;0.596299;0.908916;0.927295;0.000000;2.000000
1.344167;0.750539;1.063156;0.785398;0.000000;2.000000
1.453231;0.827659;1.140276;0.982794;0.000000;2.000000
1.625677;0.904779;1.294516;1.107149;0.000000;2.000000
1.798122;0.981899;1.448756;0.927295;0.000000;2.000000
2.016251;1.136139;1.602996;0.785398;0.000000;2.000000
2.125315;1.213259;1.680116;0.982794;0.000000;2.000000
2.297760;1.290379;1.834356;0.927295;0.000000;2.000000
2.515889;1.444619;1.988596;0.927295;0.000000;2.000000
2.688334;1.521739;2.142836;1.107149;0.000000;2.000000
2.860780;1.598859;2.297076;0.927295;0.000000;2.000000
3.078908;1.753099;2.451316;0.785398;0.000000;2.000000
3.187972;1.830219;2.528436;0.982794;0.000000;2.000000
3.360418;1.907339;2.682676;1.107149;0.000000;2.000000
3.532863;1.984459;2.836916;0.927295;0.000000;2.000000
3.750992;2.138699;2.991156;0.785398;0.000000;2.000000
3.860056;2.215819;3.068276;0.982794;0.000000;2.000000
4.032501;2.292939;3.222516;0.927295;0.000000;2.000000
4.250630;2.447179;3.376756;0.927295;0.000000;2.000000
4.423075;2.524299;3.530996;1.107149;0.000000;2.000000
4.595521;2.601419;3.685236;0.927295;0.000000;2.000000
4.813649;2.755659;3.839476;0.785398;0.000000;2.000000
4.922713;2.832779;3.916596;0.982794;0.000000;2.000000
5.095159;2.909899;4.070836;1.107149;0.000000;2.000000
5.267604;2.987019;4.225076;0.927295;0.000000;2.000000
5.485733;3.141259;4.379316;0.785398;0.000000;2.000000
5.594797;3.218379;4.456436;0.982794;0.000000;2.000000
5.767242;3.295499;4.610676;0.927295;0.000000;2.000000
5.985371;3.449739;4.764916;0.927295;0.000000;2.000000
6.157816;3.526859;4.919156;1.107149;0.000000;2.000000
6.330262;3.603979;5.073396;0.927295;0.000000;2.000000
6.548390;3.758219;5.227636;0.785398;0.000000;2.000000
6.657454;3.835339;5.304756;0.982794;0.000000;2.000000
6.829900;3.912459;5.458996;1.107149;0.000000;2.000000
7.002345;3.989579;5.613236;0.927295;0.000000;2.000000
7.220474;4.143819;5.767476;0.785398;0.000000;2.000000
7.329538;4.220939;5.844596;0.982794;0.000000;2.000000
7.501983;4.298059;5.998836;0.927295;0.000000;2.000000
7.720112;4.452299;6.153076;0.927295;0.000000;2.000000
7.892557;4.529419;6.307316;1.107149;0.000000;2.000000
8.065003;4.606539;6.461556;0.927295;0.000000;2.000000
8.283131;4.760779;6.615796;0.785398;0.000000;2.000000
