s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.048677;0.006918;0.785398;0.000000;2.000000
0.240445;0.121343;0.176938;0.927295;0.000000;2.000000
0.430533;0.206353;0.346958;1.107149;0.000000;2.000000
0.620621;0.291363;0.516978;1.107149;0.000000;2.000000
0.810709;0.376373;0.686998;0.927295;0.000000;2.000000
1.051154;0.546393;0.857018;0.927295;0.000000;2.000000
1.241242;0.631403;1.027038;1.107149;0.000000;2.000000
1.431330;0.716413;1.197058;0.927295;0.000000;2.000000
1.671774;0.886433;1.367078;0.927295;0.000000;2.000000
1.861863;0.971443;1.537098;1.107149;0.000000;2.000000
2.051951;1.056453;1.707118;1.107149;0.000000;2.000000
2.242039;1.141463;1.877138;0.927295;0.000000;2.000000
2.482483;1.311483;2.047158;0.927295;0.000000;2.000000
2.672572;1.396493;2.217178;1.107149;0.000000;2.000000
2.862660;1.481503;2.387198;0.927295;0.000000;2.000000
3.103104;1.651523;2.557218;0.927295;0.000000;2.000000
3.293192;1.736533;2.727238;1.107149;0.000000;2.000000
3.483281;1.821543;2.897258;1.107149;0.000000;2.000000
3.673369;1.906553;3.067278;0.927295;0.000000;2.000000
3.913813;2.076573;3.237298;0.927295;0.000000;2.000000
4.103901;2.161583;3.407318;1.107149;0.000000;2.000000
4.293990;2.246593;3.577338;1.107149;0.000000;2.000000
4.484078;2.331603;3.747358;0.927295;0.000000;2.000000
4.724522;2.501623;3.917378;0.927295;0.000000;2.000000
4.914610;2.586633;4.087398;1.107149;0.000000;2.000000
5.104699;2.671643;4.257418;0.927295;0.000000;2.000000
5.345143;2.841663;4.427438;0.927295;0.000000;2.000000
5.535231;2.926673;4.597458;1.107149;0.000000;2.000000
5.725319;3.011683;4.767478;1.107149;0.000000;2.000000
5.915408;3.096693;4.937498;1.107149;0.000000;2.000000
6.105496;3.181703;5.107518;0.927295;0.000000;2.000000
6.345940;3.351723;5.277538;1.107149;0.000000;2.000000
6.515960;3.351723;5.447558;1.325818;0.000000;2.000000
6.706049;3.436733;5.617578;1.107149;0.000000;2.000000
6.896137;3.521743;5.787598;1.325818;0.000000;2.000000
7.066157;3.521743;5.957618;1.325818;0.000000;2.000000
7.256245;3.606753;6.127638;1.373401;0.000000;2.000000
7.511275;3.606753;6.382668;1.570796;0.000000;2.000000
7.596285;3.606753;6.467678;1.249046;0.000000;2.000000
7.786373;3.691763;6.637698;1.325818;0.000000;2.000000
7.956393;3.691763;6.807718;1.815775;0.000000;2.000000
8.146481;3.606753;6.977738;1.768192;0.000000;2.000000
8.401511;3.606753;7.232768;1.768192;0.000000;2.000000
8.591599;3.521743;7.402788;1.815775;0.000000;2.000000
8.761619;3.521743;7.572808;1.815775;0.000000;2.000000
8.951707;3.436733;7.742828;2.214297;0.000000;2.000000
9.192152;3.266713;7.912848;2.356194;0.000000;2.000000
9.432597;3.096693;8.082868;2.498092;0.000000;2.000000
9.622685;2.926673;8.167878;2.677945;0.000000;2.000000
9.812773;2.756653;8.252888;2.896614;0.000000;2.000000
9.982793;2.586633;8.252888;2.896614;0.000000;2.000000
10.172881;2.416613;8.337898;2.677945;0.000000;2.000000
10.362969;2.246593;8.422908;2.677945;0.000000;2.000000
10.553057;2.076573;8.507918;2.677945;0.000000;2.000000
10.743145;1.906553;8.592928;2.677945;0.000000;2.000000
10.933233;1.736533;8.677938;2.677945;0.000000;2.000000
11.123322;1.566513;8.762948;2.896614;0.000000;2.000000
11.293342;1.396493;8.762948;2.896614;0.000000;2.000000
11.483430;1.226473;8.847958;2.677945;0.000000;2.000000
11.673518;1.056453;8.932968;2.677945;0.000000;2.000000
11.863606;0.886433;9.017978;2.677945;0.000000;2.000000
12.053694;0.716413;9.102988;2.677945;0.000000;2.000000
12.243782;0.546393;9.187998;2.677945;0.000000;2.000000
12.433870;0.376373;9.273008;2.896614;0.000000;2.000000
12.603890;0.206353;9.273008;2.896614;0.000000;2.000000
12.793979;0.036333;9.358018;2.677945;0.000000;2.000000
12.984067;-0.133687;9.443028;2.677945;0.000000;2.000000
13.174155;-0.303707;9.528038;2.677945;0.000000;2.000000
13.364243;-0.473727;9.613048;2.677945;0.000000;2.000000
13.554331;-0.643747;9.698058;2.677945;0.000000;2.000000
13.744419;-0.813767;9.783068;2.896614;0.000000;2.000000
13.914439;-0.983787;9.783068;2.896614;0.000000;2.000000
14.104527;-1.153807;9.868078;2.677945;0.000000;2.000000
14.294616;-1.323827;9.953088;2.677945;0.000000;2.000000
14.484704;-1.493847;10.038098;2.677945;0.000000;2.000000
14.674792;-1.663867;10.123108;2.677945;0.000000;2.000000
14.864880;-1.833887;10.208118;2.896614;0.000000;2.000000
15.034900;-2.003907;10.208118;2.896614;0.000000;2.000000
15.224988;-2.173927;10.293128;2.677945;0.000000;2.000000
15.415076;-2.343947;10.378138;2.677945;0.000000;2.000000
15.605164;-2.513967;10.463148;2.677945;0.000000;2.000000
15.795253;-2.683987;10.548158;2.677945;0.000000;2.000000
15.985341;-2.854007;10.633168;2.677945;0.000000;2.000000
16.175429;-3.024027;10.718178;2.896614;0.000000;2.000000
16.345449;-3.194047;10.718178;2.896614;0.000000;2.000000
16.535537;-3.364067;10.803188;2.677945;0.000000;2.000000
16.725625;-3.534087;10.888198;2.677945;0.000000;2.000000
16.915713;-3.704107;10.973208;2.677945;0.000000;2.000000
17.105801;-3.874127;11.058218;2.677945;0.000000;2.000000
17.295890;-4.044147;11.143228;2.677945;0.000000;2.000000
17.485978;-4.214167;11.228238;2.896614;0.000000;2.000000
17.655998;-4.384187;11.228238;2.896614;0.000000;2.000000
17.846086;-4.554207;11.313248;2.677945;0.000000;2.000000
18.036174;-4.724227;11.398258;2.677945;0.000000;2.000000
18.226262;-4.894247;11.483268;2.677945;0.000000;2.000000
18.416350;-5.064267;11.568278;2.677945;0.000000;2.000000
18.606438;-5.234287;11.653288;2.677945;0.000000;2.000000
18.796526;-5.404307;11.738298;2.896614;0.000000;2.000000
18.966546;-5.574327;11.738298;2.896614;0.000000;2.000000
19.156635;-5.744347;11.823308;2.677945;0.000000;2.000000
19.346723;-5.914367;11.908318;2.677945;0.000000;2.000000
19.536811;-6.084387;11.993328;2.677945;0.000000;2.000000
19.726899;-6.254407;12.078338;2.944197;0.000000;2.000000
19.981929;-6.509437;12.078338;2.944197;0.000000;2.000000
20.172017;-6.679457;12.163348;2.944197;0.000000;2.000000
20.427047;-6.934487;12.163348;2.944197;0.000000;2.000000
20.617135;-7.104507;12.248358;2.896614;0.000000;2.000000
20.787155;-7.274527;12.248358;-2.896614;0.000000;2.000000
20.977243;-7.444547;12.163348;-2.944197;0.000000;2.000000
21.232273;-7.699577;12.163348;-2.944197;0.000000;2.000000
21.422362;-7.869597;12.078338;-2.677945;0.000000;2.000000
21.612450;-8.039617;11.993328;-2.677945;0.000000;2.000000
21.802538;-8.209637;11.908318;-2.677945;0.000000;2.000000
21.992626;-8.379657;11.823308;-2.553590;0.000000;2.000000
22.112848;-8.464667;11.738298;-2.158799;0.000000;2.000000
22.302936;-8.549677;11.568278;-2.034444;0.000000;2.000000
22.493025;-8.634687;11.398258;-2.214297;0.000000;2.000000
22.733469;-8.804707;11.228238;-2.214297;0.000000;2.000000
22.923557;-8.889717;11.058218;-2.034444;0.000000;2.000000
23.113645;-8.974727;10.888198;-2.034444;0.000000;2.000000
23.303734;-9.059737;10.718178;-2.214297;0.000000;2.000000
23.544178;-9.229757;10.548158;-2.214297;0.000000;2.000000
23.734266;-9.314767;10.378138;-2.034444;0.000000;2.000000
23.924354;-9.399777;10.208118;-2.034444;0.000000;2.000000
24.114443;-9.484787;10.038098;-2.214297;0.000000;2.000000
24.354887;-9.654807;9.868078;-2.214297;0.000000;2.000000
24.544975;-9.739817;9.698058;-2.034444;0.000000;2.000000
24.735063;-9.824827;9.528038;-2.034444;0.000000;2.000000
24.925152;-9.909837;9.358018;-2.034444;0.000000;2.000000
25.115240;-9.994847;9.187998;-2.214297;0.000000;2.000000
25.355684;-10.164867;9.017978;-2.214297;0.000000;2.000000
25.545772;-10.249877;8.847958;-2.034444;0.000000;2.000000
25.735861;-10.334887;8.677938;-2.034444;0.000000;2.000000
25.925949;-10.419897;8.507918;-2.214297;0.000000;2.000000
26.166393;-10.589917;8.337898;-2.214297;0.000000;2.000000
26.356481;-10.674927;8.167878;-2.034444;0.000000;2.000000
26.546570;-10.759937;7.997858;-2.034444;0.000000;2.000000
26.736658;-10.844947;7.827838;-2.034444;0.000000;2.000000
26.926746;-10.929957;7.657818;-2.214297;0.000000;2.000000
27.167190;-11.099977;7.487798;-2.214297;0.000000;2.000000
27.357279;-11.184987;7.317778;-2.034444;0.000000;2.000000
27.547367;-11.269997;7.147758;-2.034444;0.000000;2.000000
27.737455;-11.355007;6.977738;-2.034444;0.000000;2.000000
27.927543;-11.440017;6.807718;-2.214297;0.000000;2.000000
28.167988;-11.610037;6.637698;-2.214297;0.000000;2.000000
28.358076;-11.695047;6.467678;-2.034444;0.000000;2.000000
28.548164;-11.780057;6.297658;-2.034444;0.000000;2.000000
28.738252;-11.865067;6.127638;-2.214297;0.000000;2.000000
28.978697;-12.035087;5.957618;-2.214297;0.000000;2.000000
29.168785;-12.120097;5.787598;-2.034444;0.000000;2.000000
29.358873;-12.205107;5.617578;-2.034444;0.000000;2.000000
29.548961;-12.290117;5.447558;-2.034444;0.000000;2.000000
29.739049;-12.375127;5.277538;-2.214297;0.000000;2.000000
29.979494;-12.545147;5.107518;-2.214297;0.000000;2.000000
30.169582;-12.630157;4.937498;-2.034444;0.000000;2.000000
30.359670;-12.715167;4.767478;-2.034444;0.000000;2.000000
30.549758;-12.800177;4.597458;-2.034444;0.000000;2.000000
30.739846;-12.885187;4.427438;-2.214297;0.000000;2.000000
30.980291;-13.055207;4.257418;-2.214297;0.000000;2.000000
31.170379;-13.140217;4.087398;-2.034444;0.000000;2.000000
31.360467;-13.225227;3.917378;-2.034444;0.000000;2.000000
31.550555;-13.310237;3.747358;-2.214297;0.000000;2.000000
31.791000;-13.480257;3.577338;-2.214297;0.000000;2.000000
31.981088;-13.565267;3.407318;-2.034444;0.000000;2.000000
32.171176;-13.650277;3.237298;-2.034444;0.000000;2.000000
32.361264;-13.735287;3.067278;-2.214297;0.000000;2.000000
32.601709;-13.905307;2.897258;-2.214297;0.000000;2.000000
32.791797;-13.990317;2.727238;-2.034444;0.000000;2.000000
32.981885;-14.075327;2.557218;-2.034444;0.000000;2.000000
33.171973;-14.160337;2.387198;-2.214297;0.000000;2.000000
33.412418;-14.330357;2.217178;-2.214297;0.000000;2.000000
33.602506;-14.415367;2.047158;-2.034444;0.000000;2.000000
33.792594;-14.500377;1.877138;-2.034444;0.000000;2.000000
33.982682;-14.585387;1.707118;-2.214297;0.000000;2.000000
34.223127;-14.755407;1.537098;-2.214297;0.000000;2.000000
34.413215;-14.840417;1.367078;-2.034444;0.000000;2.000000
34.603303;-14.925427;1.197058;-2.034444;0.000000;2.000000
34.793391;-15.010437;1.027038;-2.214297;0.000000;2.000000
35.033836;-15.180457;0.857018;-2.214297;0.000000;2.000000
35.223924;-15.265467;0.686998;-2.034444;0.000000;2.000000
35.414012;-15.350477;0.516978;-2.034444;0.000000;2.000000
35.604100;-15.435487;0.346958;-2.214297;0.000000;2.000000
35.844545;-15.605507;0.176938;-2.214297;0.000000;2.000000
36.034633;-15.690517;0.006918;-2.034444;0.000000;2.000000
36.224721;-15.775527;-0.163102;-2.034444;0.000000;2.000000
36.414809;-15.860537;-0.333122;-2.214297;0.000000;2.000000
36.655254;-16.030557;-0.503142;-2.214297;0.000000;2.000000
36.845342;-16.115567;-0.673162;-2.034444;0.000000;2.000000
37.035430;-16.200577;-0.843182;-2.214297;0.000000;2.000000
37.275875;-16.370597;-1.013202;-2.214297;0.000000;2.000000
37.465963;-16.455607;-1.183222;-2.034444;0.000000;2.000000
37.656051;-16.540617;-1.353242;-2.034444;0.000000;2.000000
37.846139;-16.625627;-1.523262;-2.214297;0.000000;2.000000
38.086584;-16.795647;-1.693282;-2.214297;0.000000;2.000000
38.276672;-16.880657;-1.863302;-2.034444;0.000000;2.000000
38.466760;-16.965667;-2.033322;-2.034444;0.000000;2.000000
38.656848;-17.050677;-2.203342;-2.214297;0.000000;2.000000
38.897293;-17.220697;-2.373362;-2.214297;0.000000;2.000000
39.087381;-17.305707;-2.543382;-2.034444;0.000000;2.000000
39.277469;-17.390717;-2.713402;-2.034444;0.000000;2.000000
39.467557;-17.475727;-2.883422;-2.214297;0.000000;2.000000
39.708002;-17.645747;-3.053442;-2.214297;0.000000;2.000000
39.898090;-17.730757;-3.223462;-2.034444;0.000000;2.000000
40.088178;-17.815767;-3.393482;-2.034444;0.000000;2.000000
40.278266;-17.900777;-3.563502;-2.214297;0.000000;2.000000
40.518711;-18.070797;-3.733522;-2.214297;0.000000;2.000000
40.708799;-18.155807;-3.903542;-2.034444;0.000000;2.000000
40.898887;-18.240817;-4.073562;-2.034444;0.000000;2.000000
41.088975;-18.325827;-4.243582;-2.214297;0.000000;2.000000
41.329420;-18.495847;-4.413602;-2.214297;0.000000;2.000000
41.519508;-18.580857;-4.583622;-2.034444;0.000000;2.000000
41.709596;-18.665867;-4.753642;-2.214297;0.000000;2.000000
41.950041;-18.835887;-4.923662;-2.214297;0.000000;2.000000
42.140129;-18.920897;-5.093682;-2.034444;0.000000;2.000000
42.330217;-19.005907;-5.263702;-2.034444;0.000000;2.000000
