s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.006467;-0.081347;-0.785398;0.000000;2.000000
0.131055;0.086203;-0.174017;-0.982794;0.000000;2.000000
0.338272;0.178873;-0.359357;-1.107149;0.000000;2.000000
0.545488;0.271543;-0.544697;-1.107149;0.000000;2.000000
0.752704;0.364213;-0.730037;-0.927295;0.000000;2.000000
1.014815;0.549553;-0.915377;-0.927295;0.000000;2.000000
1.222031;0.642223;-1.100717;-1.107149;0.000000;2.000000
1.429248;0.734893;-1.286057;-1.107149;0.000000;2.000000
1.636464;0.827563;-1.471397;-0.927295;0.000000;2.000000
1.898574;1.012903;-1.656737;-0.927295;0.000000;2.000000
2.105791;1.105573;-1.842077;-1.107149;0.000000;2.000000
2.313007;1.198243;-2.027417;-1.107149;0.000000;2.000000
2.520224;1.290913;-2.212757;-0.927295;0.000000;2.000000
2.782334;1.476253;-2.398097;-0.927295;0.000000;2.000000
2.989550;1.568923;-2.583437;-1.107149;0.000000;2.000000
3.196767;1.661593;-2.768777;-0.927295;0.000000;2.000000
3.458877;1.846933;-2.954117;-0.927295;0.000000;2.000000
3.666094;1.939603;-3.139457;-1.107149;0.000000;2.000000
3.873310;2.032273;-3.324797;-1.107149;0.000000;2.000000
4.080526;2.124943;-3.510137;-0.927295;0.000000;2.000000
4.342637;2.310283;-3.695477;-0.927295;0.000000;2.000000
4.549853;2.402953;-3.880817;-1.107149;0.000000;2.000000
4.757070;2.495623;-4.066157;-1.107149;0.000000;2.000000
4.964286;2.588293;-4.251497;-0.927295;0.000000;2.000000
5.226396;2.773633;-4.436837;-0.927295;0.000000;2.000000
5.433613;2.866303;-4.622177;-1.107149;0.000000;2.000000
5.640829;2.958973;-4.807517;-1.107149;0.000000;2.000000
5.848046;3.051643;-4.992857;-0.927295;0.000000;2.000000
6.110156;3.236983;-5.178197;-0.927295;0.000000;2.000000
6.317372;3.329653;-5.363537;-1.107149;0.000000;2.000000
6.524589;3.422323;-5.548877;-1.107149;0.000000;2.000000
6.731805;3.514993;-5.734217;-0.927295;0.000000;2.000000
6.993916;3.700333;-5.919557;-0.927295;0.000000;2.000000
7.201132;3.793003;-6.104897;-1.107149;0.000000;2.000000
7.408348;3.885673;-6.290237;-0.927295;0.000000;2.000000
7.670459;4.071013;-6.475577;-0.927295;0.000000;2.000000
7.877675;4.163683;-6.660917;-1.107149;0.000000;2.000000
8.084892;4.256353;-6.846257;-1.107149;0.000000;2.000000
8.292108;4.349023;-7.031597;-0.927295;0.000000;2.000000
8.554218;4.534363;-7.216937;-0.927295;0.000000;2.000000
8.761435;4.627033;-7.402277;-1.107149;0.000000;2.000000
8.968651;4.719703;-7.587617;-1.107149;0.000000;2.000000
9.175868;4.812373;-7.772957;-0.927295;0.000000;2.000000
9.437978;4.997713;-7.958297;-0.927295;0.000000;2.000000
9.645194;5.090383;-8.143637;-1.107149;0.000000;2.000000
9.852411;5.183053;-8.328977;-1.107149;0.000000;2.000000
10.059627;5.275723;-8.514317;-0.927295;0.000000;2.000000
10.321738;5.461063;-8.699657;-0.927295;0.000000;2.000000
10.528954;5.553733;-8.884997;-1.107149;0.000000;2.000000
10.736170;5.646403;-9.070337;-1.107149;0.000000;2.000000
10.943387;5.739073;-9.255677;-0.927295;0.000000;2.000000
11.205497;5.924413;-9.441017;-0.927295;0.000000;2.000000
11.412714;6.017083;-9.626357;-1.107149;0.000000;2.000000
11.619930;6.109753;-9.811697;-0.927295;0.000000;2.000000
11.882040;6.295093;-9.997037;-0.927295;0.000000;2.000000
12.089257;6.387763;-10.182377;-1.107149;0.000000;2.000000
12.296473;6.480433;-10.367717;-0.927295;0.000000;2.000000
12.558583;6.665773;-10.553057;-0.927295;0.000000;2.000000
12.765800;6.758443;-10.738397;-1.107149;0.000000;2.000000
12.973016;6.851113;-10.923737;-0.927295;0.000000;2.000000
13.235127;7.036453;-11.109077;-0.927295;0.000000;2.000000
13.442343;7.129123;-11.294417;-1.107149;0.000000;2.000000
13.649560;7.221793;-11.479757;-1.373401;0.000000;2.000000
13.927570;7.221793;-11.757767;-1.570796;0.000000;2.000000
14.020240;7.221793;-11.850437;-1.249046;0.000000;2.000000
14.227456;7.314463;-12.035777;-1.373401;0.000000;2.000000
14.505466;7.314463;-12.313787;-1.570796;0.000000;2.000000
14.783476;7.314463;-12.591797;-1.768192;0.000000;2.000000
14.990692;7.221793;-12.777137;-1.815775;0.000000;2.000000
15.176032;7.221793;-12.962477;-1.815775;0.000000;2.000000
15.383249;7.129123;-13.147817;-2.214297;0.000000;2.000000
15.645359;6.943783;-13.333157;-2.356194;0.000000;2.000000
15.776414;6.851113;-13.425827;-2.553590;0.000000;2.000000
15.983631;6.665773;-13.518497;-2.944197;0.000000;2.000000
16.261641;6.387763;-13.518497;-2.944197;0.000000;2.000000
16.468857;6.202423;-13.611167;-2.944197;0.000000;2.000000
16.746867;5.924413;-13.611167;3.141593;0.000000;2.000000
17.024877;5.646403;-13.611167;3.141593;0.000000;2.000000
17.302887;5.368393;-13.611167;3.141593;0.000000;2.000000
17.580897;5.090383;-13.611167;3.141593;0.000000;2.000000
17.858907;4.812373;-13.611167;3.141593;0.000000;2.000000
18.136917;4.534363;-13.611167;3.141593;0.000000;2.000000
18.414927;4.256353;-13.611167;3.141593;0.000000;2.000000
18.692937;3.978343;-13.611167;3.141593;0.000000;2.000000
18.878277;3.793003;-13.611167;-2.896614;0.000000;2.000000
19.085494;3.607663;-13.703837;-2.896614;0.000000;2.000000
19.270834;3.422323;-13.703837;-2.896614;0.000000;2.000000
19.478050;3.236983;-13.796507;-2.498092;0.000000;2.000000
19.740160;3.051643;-13.981847;-2.356194;0.000000;2.000000
19.871215;2.958973;-14.074517;-1.892547;0.000000;2.000000
20.056555;2.958973;-14.259857;-1.815775;0.000000;2.000000
20.263772;2.866303;-14.445197;-1.768192;0.000000;2.000000
20.541782;2.866303;-14.723207;-1.768192;0.000000;2.000000
20.748998;2.773633;-14.908547;-1.768192;0.000000;2.000000
21.027008;2.773633;-15.186557;-1.570796;0.000000;2.000000
21.305018;2.773633;-15.464567;-1.570796;0.000000;2.000000
21.583028;2.773633;-15.742577;-1.570796;0.000000;2.000000
21.768368;2.773633;-15.927917;-1.325818;0.000000;2.000000
21.975585;2.866303;-16.113257;-1.373401;0.000000;2.000000
22.253595;2.866303;-16.391267;-1.570796;0.000000;2.000000
22.531605;2.866303;-16.669277;-1.373401;0.000000;2.000000
22.738821;2.958973;-16.854617;-1.373401;0.000000;2.000000
23.016831;2.958973;-17.132627;-1.570796;0.000000;2.000000
23.294841;2.958973;-17.410637;-1.570796;0.000000;2.000000
23.387511;2.958973;-17.503307;-1.249046;0.000000;2.000000
23.594728;3.051643;-17.688647;-1.373401;0.000000;2.000000
23.872738;3.051643;-17.966657;-1.570796;0.000000;2.000000
24.150748;3.051643;-18.244667;-1.373401;0.000000;2.000000
24.357964;3.144313;-18.430007;-1.373401;0.000000;2.000000
24.635974;3.144313;-18.708017;-1.570796;0.000000;2.000000
24.913984;3.144313;-18.986027;-1.373401;0.000000;2.000000
25.121200;3.236983;-19.171367;-1.373401;0.000000;2.000000
25.399210;3.236983;-19.449377;-1.570796;0.000000;2.000000
25.677220;3.236983;-19.727387;-1.373401;0.000000;2.000000
25.884437;3.329653;-19.912727;-1.373401;0.000000;2.000000
26.162447;3.329653;-20.190737;-1.570796;0.000000;2.000000
26.440457;3.329653;-20.468747;-1.570796;0.000000;2.000000
26.533127;3.329653;-20.561417;-1.249046;0.000000;2.000000
26.740343;3.422323;-20.746757;-1.373401;0.000000;2.000000
27.018353;3.422323;-21.024767;-1.570796;0.000000;2.000000
27.296363;3.422323;-21.302777;-1.373401;0.000000;2.000000
27.503580;3.514993;-21.488117;-1.373401;0.000000;2.000000
27.781590;3.514993;-21.766127;-1.570796;0.000000;2.000000
28.059600;3.514993;-22.044137;-1.373401;0.000000;2.000000
28.266816;3.607663;-22.229477;-1.373401;0.000000;2.000000
28.544826;3.607663;-22.507487;-1.570796;0.000000;2.000000
28.822836;3.607663;-22.785497;-1.373401;0.000000;2.000000
29.030053;3.700333;-22.970837;-1.373401;0.000000;2.000000
29.308063;3.700333;-23.248847;-1.570796;0.000000;2.000000
