s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.000159;-0.020037;0.000000;0.000000;2.000000
0.057960;0.057801;-0.020037;0.321751;0.000000;2.000000
0.187562;0.173721;0.037923;0.463648;0.000000;2.000000
0.317165;0.289641;0.095883;0.197396;0.000000;2.000000
0.491045;0.463521;0.095883;0.197396;0.000000;2.000000
0.620647;0.579441;0.153843;0.244979;0.000000;2.000000
0.736567;0.695361;0.153843;0.244979;0.000000;2.000000
0.866170;0.811281;0.211803;0.244979;0.000000;2.000000
0.982090;0.927201;0.211803;0.244979;0.000000;2.000000
1.111692;1.043121;0.269763;0.463648;0.000000;2.000000
1.241295;1.159041;0.327723;0.197396;0.000000;2.000000
1.415175;1.332921;0.327723;0.197396;0.000000;2.000000
1.544777;1.448841;0.385683;0.244979;0.000000;2.000000
1.660697;1.564761;0.385683;0.244979;0.000000;2.000000
1.790300;1.680681;0.443643;0.463648;0.000000;2.000000
1.919902;1.796601;0.501603;0.197396;0.000000;2.000000
2.093782;1.970481;0.501603;0.197396;0.000000;2.000000
2.223385;2.086401;0.559563;0.244979;0.000000;2.000000
2.339305;2.202321;0.559563;0.244979;0.000000;2.000000
2.468907;2.318241;0.617523;0.244979;0.000000;2.000000
2.584827;2.434161;0.617523;0.244979;0.000000;2.000000
2.714430;2.550081;0.675483;0.463648;0.000000;2.000000
2.844032;2.666001;0.733443;0.197396;0.000000;2.000000
3.017912;2.839881;0.733443;0.197396;0.000000;2.000000
3.147515;2.955801;0.791403;0.244979;0.000000;2.000000
3.263435;3.071721;0.791403;0.244979;0.000000;2.000000
3.393037;3.187641;0.849363;0.463648;0.000000;2.000000
3.522640;3.303561;0.907323;0.197396;0.000000;2.000000
3.696520;3.477441;0.907323;0.197396;0.000000;2.000000
3.826122;3.593361;0.965283;0.244979;0.000000;2.000000
3.942042;3.709281;0.965283;0.244979;0.000000;2.000000
4.071645;3.825201;1.023243;0.244979;0.000000;2.000000
4.187565;3.941121;1.023243;0.244979;0.000000;2.000000
4.317167;4.057041;1.081203;0.463648;0.000000;2.000000
4.446770;4.172961;1.139163;0.197396;0.000000;2.000000
4.620650;4.346841;1.139163;0.197396;0.000000;2.000000
4.750252;4.462761;1.197123;0.244979;0.000000;2.000000
4.866172;4.578681;1.197123;0.244979;0.000000;2.000000
4.995775;4.694601;1.255083;0.463648;0.000000;2.000000
5.125377;4.810521;1.313043;0.197396;0.000000;2.000000
5.299257;4.984401;1.313043;0.197396;0.000000;2.000000
5.428860;5.100321;1.371003;0.244979;0.000000;2.000000
5.544780;5.216241;1.371003;0.244979;0.000000;2.000000
5.674382;5.332161;1.428963;0.244979;0.000000;2.000000
5.790302;5.448081;1.428963;0.244979;0.000000;2.000000
5.919905;5.564001;1.486923;0.463648;0.000000;2.000000
6.049507;5.679921;1.544883;0.197396;0.000000;2.000000
6.223387;5.853801;1.544883;0.197396;0.000000;2.000000
6.352990;5.969721;1.602843;0.244979;0.000000;2.000000
6.468910;6.085641;1.602843;0.244979;0.000000;2.000000
6.598512;6.201561;1.660803;0.463648;0.000000;2.000000
6.728115;6.317481;1.718763;0.197396;0.000000;2.000000
6.901995;6.491361;1.718763;0.197396;0.000000;2.000000
7.031597;6.607281;1.776723;0.244979;0.000000;2.000000
7.147517;6.723201;1.776723;0.244979;0.000000;2.000000
7.277120;6.839121;1.834683;0.244979;0.000000;2.000000
7.393040;6.955041;1.834683;0.244979;0.000000;2.000000
7.522642;7.070961;1.892643;0.463648;0.000000;2.000000
7.652245;7.186881;1.950603;0.197396;0.000000;2.000000
7.826125;7.360761;1.950603;0.197396;0.000000;2.000000
7.955727;7.476681;2.008563;0.244979;0.000000;2.000000
8.071647;7.592601;2.008563;0.244979;0.000000;2.000000
8.201250;7.708521;2.066523;0.463648;0.000000;2.000000
8.330852;7.824441;2.124483;0.197396;0.000000;2.000000
8.504732;7.998321;2.124483;0.197396;0.000000;2.000000
8.634335;8.114241;2.182443;0.244979;0.000000;2.000000
8.750255;8.230161;2.182443;0.244979;0.000000;2.000000
8.879857;8.346081;2.240403;0.244979;0.000000;2.000000
8.995777;8.462001;2.240403;0.244979;0.000000;2.000000
9.125380;8.577921;2.298363;0.463648;0.000000;2.000000
9.254982;8.693841;2.356323;0.197396;0.000000;2.000000
9.428862;8.867721;2.356323;0.197396;0.000000;2.000000
