s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.036566;-0.027060;0.000000;0.000000;2.000000
0.219420;0.255986;-0.027060;0.197396;0.000000;2.000000
0.382966;0.402266;0.046080;0.197396;0.000000;2.000000
0.602386;0.621686;0.046080;0.000000;0.000000;2.000000
0.821806;0.841106;0.046080;0.197396;0.000000;2.000000
0.985352;0.987386;0.119220;0.197396;0.000000;2.000000
1.204772;1.206806;0.119220;0.000000;0.000000;2.000000
1.424192;1.426226;0.119220;0.197396;0.000000;2.000000
1.587738;1.572506;0.192360;0.197396;0.000000;2.000000
1.807158;1.791926;0.192360;0.000000;0.000000;2.000000
1.953438;1.938206;0.192360;0.244979;0.000000;2.000000
2.116984;2.084486;0.265500;0.197396;0.000000;2.000000
2.336404;2.303906;0.265500;0.000000;0.000000;2.000000
2.555824;2.523326;0.265500;0.197396;0.000000;2.000000
2.719370;2.669606;0.338640;0.197396;0.000000;2.000000
2.938790;2.889026;0.338640;0.000000;0.000000;2.000000
3.158210;3.108446;0.338640;0.197396;0.000000;2.000000
3.321756;3.254726;0.411780;0.197396;0.000000;2.000000
3.541176;3.474146;0.411780;0.000000;0.000000;2.000000
3.760596;3.693566;0.411780;0.197396;0.000000;2.000000
3.924142;3.839846;0.484920;0.197396;0.000000;2.000000
4.143562;4.059266;0.484920;0.000000;0.000000;2.000000
4.362982;4.278686;0.484920;0.197396;0.000000;2.000000
4.526528;4.424966;0.558060;0.197396;0.000000;2.000000
4.745948;4.644386;0.558060;0.000000;0.000000;2.000000
4.892228;4.790666;0.558060;0.244979;0.000000;2.000000
5.055774;4.936946;0.631200;0.197396;0.000000;2.000000
5.275194;5.156366;0.631200;0.000000;0.000000;2.000000
5.494614;5.375786;0.631200;0.197396;0.000000;2.000000
5.658160;5.522066;0.704340;0.197396;0.000000;2.000000
5.877580;5.741486;0.704340;0.000000;0.000000;2.000000
6.097000;5.960906;0.704340;0.197396;0.000000;2.000000
6.260546;6.107186;0.777480;0.197396;0.000000;2.000000
6.479966;6.326606;0.777480;0.000000;0.000000;2.000000
6.699386;6.546026;0.777480;0.197396;0.000000;2.000000
6.862932;6.692306;0.850620;0.197396;0.000000;2.000000
7.082352;6.911726;0.850620;0.000000;0.000000;2.000000
