s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.035095;-0.017526;1.107149;0.000000;2.000000
0.114241;0.015995;0.084654;1.107149;0.000000;2.000000
0.228481;0.067085;0.186834;1.325818;0.000000;2.000000
0.330661;0.067085;0.289014;1.325818;0.000000;2.000000
0.444902;0.118175;0.391194;1.107149;0.000000;2.000000
0.559143;0.169265;0.493374;1.107149;0.000000;2.000000
0.673384;0.220355;0.595554;1.107149;0.000000;2.000000
0.787624;0.271445;0.697734;1.325818;0.000000;2.000000
0.889804;0.271445;0.799914;1.325818;0.000000;2.000000
1.004045;0.322535;0.902094;1.107149;0.000000;2.000000
1.118286;0.373625;1.004274;1.107149;0.000000;2.000000
1.232526;0.424715;1.106454;1.107149;0.000000;2.000000
1.346767;0.475805;1.208634;1.325818;0.000000;2.000000
1.448947;0.475805;1.310814;1.325818;0.000000;2.000000
1.563188;0.526895;1.412994;1.107149;0.000000;2.000000
1.677429;0.577985;1.515174;1.107149;0.000000;2.000000
1.791669;0.629075;1.617354;1.325818;0.000000;2.000000
1.893849;0.629075;1.719534;1.325818;0.000000;2.000000
2.008090;0.680165;1.821714;1.107149;0.000000;2.000000
2.122331;0.731255;1.923894;1.107149;0.000000;2.000000
2.236571;0.782345;2.026074;1.107149;0.000000;2.000000
2.350812;0.833435;2.128254;1.325818;0.000000;2.000000
2.452992;0.833435;2.230434;1.325818;0.000000;2.000000
2.567233;0.884525;2.332614;1.107149;0.000000;2.000000
2.681474;0.935615;2.434794;1.107149;0.000000;2.000000
2.795714;0.986705;2.536974;1.107149;0.000000;2.000000
2.909955;1.037795;2.639154;1.325818;0.000000;2.000000
3.012135;1.037795;2.741334;1.325818;0.000000;2.000000
3.126376;1.088885;2.843514;1.107149;0.000000;2.000000
3.240616;1.139975;2.945694;1.107149;0.000000;2.000000
3.354857;1.191065;3.047874;1.107149;0.000000;2.000000
3.469098;1.242155;3.150054;1.325818;0.000000;2.000000
3.571278;1.242155;3.252234;1.325818;0.000000;2.000000
3.685519;1.293245;3.354414;1.107149;0.000000;2.000000
