s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.006540;-0.070793;0.000000;0.000000;2.000000
0.100000;0.093460;-0.070793;0.244979;0.000000;2.000000
0.211803;0.193460;-0.020793;0.197396;0.000000;2.000000
0.361803;0.343460;-0.020793;0.000000;0.000000;2.000000
0.511803;0.493460;-0.020793;0.000000;0.000000;2.000000
0.611803;0.593460;-0.020793;0.244979;0.000000;2.000000
0.723607;0.693460;0.029207;0.197396;0.000000;2.000000
0.873607;0.843460;0.029207;0.000000;0.000000;2.000000
1.023607;0.993460;0.029207;0.000000;0.000000;2.000000
1.073607;1.043460;0.029207;0.321751;0.000000;2.000000
1.185410;1.143460;0.079207;0.197396;0.000000;2.000000
1.335410;1.293460;0.079207;0.000000;0.000000;2.000000
1.485410;1.443460;0.079207;0.000000;0.000000;2.000000
1.635410;1.593460;0.079207;0.000000;0.000000;2.000000
1.735410;1.693460;0.079207;0.244979;0.000000;2.000000
1.847214;1.793460;0.129207;0.197396;0.000000;2.000000
1.997214;1.943460;0.129207;0.000000;0.000000;2.000000
2.147214;2.093460;0.129207;0.000000;0.000000;2.000000
2.297214;2.243460;0.129207;0.000000;0.000000;2.000000
2.447214;2.393460;0.129207;-0.197396;0.000000;2.000000
2.559017;2.493460;0.079207;-0.197396;0.000000;2.000000
2.709017;2.643460;0.079207;0.000000;0.000000;2.000000
2.759017;2.693460;0.079207;-0.321751;0.000000;2.000000
2.870820;2.793460;0.029207;-0.197396;0.000000;2.000000
3.020820;2.943460;0.029207;0.000000;0.000000;2.000000
3.070820;2.993460;0.029207;-0.321751;0.000000;2.000000
3.182624;3.093460;-0.020793;-0.197396;0.000000;2.000000
3.332624;3.243460;-0.020793;-0.197396;0.000000;2.000000
3.444427;3.343460;-0.070793;-0.197396;0.000000;2.000000
3.594427;3.493460;-0.070793;-0.197396;0.000000;2.000000
3.706231;3.593460;-0.120793;-0.463648;0.000000;2.000000
3.818034;3.693460;-0.170793;-0.197396;0.000000;2.000000
3.968034;3.843460;-0.170793;-0.197396;0.000000;2.000000
4.079837;3.943460;-0.220793;-0.463648;0.000000;2.000000
4.191641;4.043460;-0.270793;-0.244979;0.000000;2.000000
4.291641;4.143460;-0.270793;-0.244979;0.000000;2.000000
4.403444;4.243460;-0.320793;-0.463648;0.000000;2.000000
4.515248;4.343460;-0.370793;-0.463648;0.000000;2.000000
4.627051;4.443460;-0.420793;-0.463648;0.000000;2.000000
4.738854;4.543460;-0.470793;-0.244979;0.000000;2.000000
4.838854;4.643460;-0.470793;-0.244979;0.000000;2.000000
4.950658;4.743460;-0.520793;-0.463648;0.000000;2.000000
5.062461;4.843460;-0.570793;-0.463648;0.000000;2.000000
5.174265;4.943460;-0.620793;-0.463648;0.000000;2.000000
5.286068;5.043460;-0.670793;-0.463648;0.000000;2.000000
5.397871;5.143460;-0.720793;-0.643501;0.000000;2.000000
5.539293;5.243460;-0.820793;-0.643501;0.000000;2.000000
5.651096;5.343460;-0.870793;-0.463648;0.000000;2.000000
5.762900;5.443460;-0.920793;-0.643501;0.000000;2.000000
5.904321;5.543460;-1.020793;-0.643501;0.000000;2.000000
6.016124;5.643460;-1.070793;-0.463648;0.000000;2.000000
6.127928;5.743460;-1.120793;-0.643501;0.000000;2.000000
6.269349;5.843460;-1.220793;-0.643501;0.000000;2.000000
6.381152;5.943460;-1.270793;-0.643501;0.000000;2.000000
6.522574;6.043460;-1.370793;-0.643501;0.000000;2.000000
6.634377;6.143460;-1.420793;-0.643501;0.000000;2.000000
6.775799;6.243460;-1.520793;-0.785398;0.000000;2.000000
6.846509;6.293460;-1.570793;-0.588003;0.000000;2.000000
6.958313;6.393460;-1.620793;-0.643501;0.000000;2.000000
7.099734;6.493460;-1.720793;-0.785398;0.000000;2.000000
7.241155;6.593460;-1.820793;-0.785398;0.000000;2.000000
7.311866;6.643460;-1.870793;-0.588003;0.000000;2.000000
7.423669;6.743460;-1.920793;-0.643501;0.000000;2.000000
7.565091;6.843460;-2.020793;-0.785398;0.000000;2.000000
7.706512;6.943460;-2.120793;-0.785398;0.000000;2.000000
