s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.451818;0.231818;0.603749;0.000000;2.000000
0.097384;0.530909;0.286364;0.622962;0.000000;2.000000
0.197488;0.610000;0.345455;0.659848;0.000000;2.000000
0.302198;0.689091;0.409091;0.680843;0.000000;2.000000
0.411555;0.772727;0.477273;0.700060;0.000000;2.000000
0.488464;0.856364;0.550000;0.923749;0.000000;2.000000
0.539284;0.865455;0.600000;1.390943;0.000000;2.000000
0.590559;0.874545;0.650000;1.347320;0.000000;2.000000
0.642385;0.888182;0.700000;1.304544;0.000000;2.000000
0.694211;0.901818;0.750000;1.304544;0.000000;2.000000
0.745486;0.915455;0.800000;1.347320;0.000000;2.000000
0.796761;0.924545;0.850000;1.347320;0.000000;2.000000
0.849231;0.938182;0.900000;1.262744;0.000000;2.000000
0.903253;0.956364;0.950000;1.182478;0.000000;2.000000
0.958176;0.979091;1.000000;1.144169;0.000000;2.000000
1.013099;1.001818;1.050000;1.144169;0.000000;2.000000
1.069001;1.024545;1.100000;1.107149;0.000000;2.000000
1.127078;1.051818;1.150000;1.037088;0.000000;2.000000
1.186343;1.083636;1.200000;1.004067;0.000000;2.000000
1.245609;1.115455;1.250000;1.004067;0.000000;2.000000
1.306125;1.147273;1.300000;0.972377;0.000000;2.000000
1.369313;1.183636;1.350000;0.912908;0.000000;2.000000
1.432502;1.224545;1.400000;0.912908;0.000000;2.000000
1.494327;1.260909;1.450000;0.942000;0.000000;2.000000
1.556151;1.297273;1.500000;0.942000;0.000000;2.000000
1.617976;1.333636;1.550000;0.942000;0.000000;2.000000
1.679801;1.370000;1.600000;0.942000;0.000000;2.000000
1.741626;1.406364;1.650000;0.942000;0.000000;2.000000
1.803451;1.442727;1.700000;0.942000;0.000000;2.000000
1.865276;1.479091;1.750000;0.942000;0.000000;2.000000
1.928464;1.515455;1.800000;0.912908;0.000000;2.000000
1.993067;1.556364;1.850000;0.885067;0.000000;2.000000
2.056255;1.597273;1.900000;0.912908;0.000000;2.000000
2.119444;1.633636;1.950000;0.912908;0.000000;2.000000
