s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;-0.024998;-0.174998;0.000000;0.000000;2.000000
0.150000;0.125002;-0.174998;0.000000;0.000000;2.000000
0.300000;0.275002;-0.174998;0.000000;0.000000;2.000000
0.450000;0.425002;-0.174998;0.000000;0.000000;2.000000
0.600000;0.575002;-0.174998;0.000000;0.000000;2.000000
0.750000;0.725002;-0.174998;0.000000;0.000000;2.000000
0.900000;0.875002;-0.174998;0.000000;0.000000;2.000000
1.050000;1.025002;-0.174998;0.000000;0.000000;2.000000
1.200000;1.175002;-0.174998;0.000000;0.000000;2.000000
1.350000;1.325002;-0.174998;0.000000;0.000000;2.000000
1.500000;1.475002;-0.174998;0.000000;0.000000;2.000000
1.650000;1.625002;-0.174998;0.000000;0.000000;2.000000
1.800000;1.775002;-0.174998;0.000000;0.000000;2.000000
1.950000;1.925002;-0.174998;0.000000;0.000000;2.000000
2.100000;2.075002;-0.174998;0.000000;0.000000;2.000000
2.250000;2.225002;-0.174998;0.000000;0.000000;2.000000
2.400000;2.375002;-0.174998;0.000000;0.000000;2.000000
2.550000;2.525002;-0.174998;0.000000;0.000000;2.000000
2.700000;2.675002;-0.174998;0.000000;0.000000;2.000000
2.850000;2.825002;-0.174998;0.000000;0.000000;2.000000
3.000000;2.975002;-0.174998;0.000000;0.000000;2.000000
3.150000;3.125002;-0.174998;0.000000;0.000000;2.000000
3.300000;3.275002;-0.174998;0.000000;0.000000;2.000000
3.450000;3.425002;-0.174998;0.000000;0.000000;2.000000
3.600000;3.575002;-0.174998;0.000000;0.000000;2.000000
3.750000;3.725002;-0.174998;0.000000;0.000000;2.000000
3.900000;3.875002;-0.174998;0.000000;0.000000;2.000000
4.050000;4.025002;-0.174998;0.000000;0.000000;2.000000
4.200000;4.175002;-0.174998;0.000000;0.000000;2.000000
4.350000;4.325002;-0.174998;0.000000;0.000000;2.000000
4.500000;4.475002;-0.174998;0.000000;0.000000;2.000000
4.650000;4.625002;-0.174998;0.000000;0.000000;2.000000
4.800000;4.775002;-0.174998;0.000000;0.000000;2.000000
