s_m;x_m;y_m;psi_rad;kappa_m;v_mps
0.000000;0.443460;0.779207;0.000000;0.000000;2.000000
0.050000;0.493460;0.779207;-0.321751;0.000000;2.000000
0.161803;0.593460;0.729207;-0.463648;0.000000;2.000000
0.273607;0.693460;0.679207;-0.643501;0.000000;2.000000
0.415028;0.793460;0.579207;-0.643501;0.000000;2.000000
0.526832;0.893460;0.529207;-0.463648;0.000000;2.000000
0.638635;0.993460;0.479207;-0.463648;0.000000;2.000000
0.750438;1.093460;0.429207;-0.463648;0.000000;2.000000
0.862242;1.193460;0.379207;-0.463648;0.000000;2.000000
0.974045;1.293460;0.329207;-0.463648;0.000000;2.000000
1.085849;1.393460;0.279207;-0.463648;0.000000;2.000000
1.197652;1.493460;0.229207;-0.463648;0.000000;2.000000
1.309455;1.593460;0.179207;-0.463648;0.000000;2.000000
1.421259;1.693460;0.129207;-0.463648;0.000000;2.000000
1.533062;1.793460;0.079207;-0.463648;0.000000;2.000000
1.644866;1.893460;0.029207;-0.463648;0.000000;2.000000
1.756669;1.993460;-0.020793;-0.643501;0.000000;2.000000
1.898090;2.093460;-0.120793;-0.643501;0.000000;2.000000
2.009894;2.193460;-0.170793;-0.463648;0.000000;2.000000
2.121697;2.293460;-0.220793;-0.463648;0.000000;2.000000
2.233500;2.393460;-0.270793;-0.463648;0.000000;2.000000
2.345304;2.493460;-0.320793;-0.643501;0.000000;2.000000
2.486725;2.593460;-0.420793;-0.463648;0.000000;2.000000
2.586725;2.693460;-0.420793;-0.244979;0.000000;2.000000
2.698529;2.793460;-0.470793;-0.463648;0.000000;2.000000
2.810332;2.893460;-0.520793;-0.643501;0.000000;2.000000
2.951753;2.993460;-0.620793;-0.643501;0.000000;2.000000
3.063557;3.093460;-0.670793;-0.463648;0.000000;2.000000
3.175360;3.193460;-0.720793;-0.463648;0.000000;2.000000
3.287164;3.293460;-0.770793;-0.463648;0.000000;2.000000
3.398967;3.393460;-0.820793;-0.463648;0.000000;2.000000
3.510770;3.493460;-0.870793;-0.643501;0.000000;2.000000
3.652192;3.593460;-0.970793;-0.643501;0.000000;2.000000
3.763995;3.693460;-1.020793;-0.244979;0.000000;2.000000
3.863995;3.793460;-1.020793;-0.463648;0.000000;2.000000
4.005417;3.893460;-1.120793;-0.643501;0.000000;2.000000
4.117220;3.993460;-1.170793;-0.463648;0.000000;2.000000
4.229023;4.093460;-1.220793;-0.463648;0.000000;2.000000
4.340827;4.193460;-1.270793;-0.463648;0.000000;2.000000
4.452630;4.293460;-1.320793;-0.463648;0.000000;2.000000
4.564434;4.393460;-1.370793;-0.463648;0.000000;2.000000
4.676237;4.493460;-1.420793;-0.463648;0.000000;2.000000
4.788040;4.593460;-1.470793;-0.463648;0.000000;2.000000
4.899844;4.693460;-1.520793;-0.463648;0.000000;2.000000
5.011647;4.793460;-1.570793;-0.463648;0.000000;2.000000
5.123450;4.893460;-1.620793;-0.463648;0.000000;2.000000
5.235254;4.993460;-1.670793;-0.463648;0.000000;2.000000
5.347057;5.093460;-1.720793;-0.463648;0.000000;2.000000
5.458861;5.193460;-1.770793;-0.643501;0.000000;2.000000
5.600282;5.293460;-1.870793;-0.643501;0.000000;2.000000
5.712085;5.393460;-1.920793;-0.463648;0.000000;2.000000
5.823889;5.493460;-1.970793;-0.463648;0.000000;2.000000
5.935692;5.593460;-2.020793;-0.463648;0.000000;2.000000
6.047496;5.693460;-2.070793;-0.463648;0.000000;2.000000
6.159299;5.793460;-2.120793;-0.643501;0.000000;2.000000
6.300720;5.893460;-2.220793;-0.643501;0.000000;2.000000
6.412524;5.993460;-2.270793;-0.463648;0.000000;2.000000
6.524327;6.093460;-2.320793;-0.463648;0.000000;2.000000
6.636131;6.193460;-2.370793;-0.463648;0.000000;2.000000
6.747934;6.293460;-2.420793;-0.463648;0.000000;2.000000
6.859737;6.393460;-2.470793;-0.463648;0.000000;2.000000
6.971541;6.493460;-2.520793;-0.463648;0.000000;2.000000
7.083344;6.593460;-2.570793;-0.643501;0.000000;2.000000
7.224766;6.693460;-2.670793;-0.643501;0.000000;2.000000
7.336569;6.793460;-2.720793;-0.463648;0.000000;2.000000
7.448372;6.893460;-2.770793;-0.463648;0.000000;2.000000
7.560176;6.993460;-2.820793;-0.463648;0.000000;2.000000
7.671979;7.093460;-2.870793;-0.463648;0.000000;2.000000
7.783783;7.193460;-2.920793;-0.463648;0.000000;2.000000
7.895586;7.293460;-2.970793;-0.463648;0.000000;2.000000
8.007389;7.393460;-3.020793;-0.463648;0.000000;2.000000
8.119193;7.493460;-3.070793;-0.463648;0.000000;2.000000
8.230996;7.593460;-3.120793;-0.463648;0.000000;2.000000
8.342800;7.693460;-3.170793;-0.463648;0.000000;2.000000
8.454603;7.793460;-3.220793;-0.643501;0.000000;2.000000
8.596024;7.893460;-3.320793;-0.463648;0.000000;2.000000
8.696024;7.993460;-3.320793;-0.244979;0.000000;2.000000
8.807828;8.093460;-3.370793;-0.643501;0.000000;2.000000
8.949249;8.193460;-3.470793;-0.785398;0.000000;2.000000
9.019960;8.243460;-3.520793;-0.588003;0.000000;2.000000
9.131763;8.343460;-3.570793;-0.463648;0.000000;2.000000
9.243567;8.443460;-3.620793;-0.463648;0.000000;2.000000
9.355370;8.543460;-3.670793;-0.463648;0.000000;2.000000
9.467173;8.643460;-3.720793;-0.463648;0.000000;2.000000
9.578977;8.743460;-3.770793;-0.463648;0.000000;2.000000
9.690780;8.843460;-3.820793;-0.463648;0.000000;2.000000
9.802584;8.943460;-3.870793;-0.463648;0.000000;2.000000
9.914387;9.043460;-3.920793;-0.463648;0.000000;2.000000
10.026190;9.143460;-3.970793;-0.463648;0.000000;2.000000
10.137994;9.243460;-4.020793;-0.463648;0.000000;2.000000
10.249797;9.343460;-4.070793;-0.643501;0.000000;2.000000
10.391218;9.443460;-4.170793;-0.643501;0.000000;2.000000
10.503022;9.543460;-4.220793;-0.463648;0.000000;2.000000
10.614825;9.643460;-4.270793;-0.244979;0.000000;2.000000
10.714825;9.743460;-4.270793;-0.463648;0.000000;2.000000
10.856247;9.843460;-4.370793;-0.643501;0.000000;2.000000
10.968050;9.943460;-4.420793;-0.463648;0.000000;2.000000
11.079853;10.043460;-4.470793;-0.463648;0.000000;2.000000
11.191657;10.143460;-4.520793;-0.463648;0.000000;2.000000
11.303460;10.243460;-4.570793;-0.463648;0.000000;2.000000
11.415264;10.343460;-4.620793;-0.463648;0.000000;2.000000
11.527067;10.443460;-4.670793;-0.643501;0.000000;2.000000
11.668488;10.543460;-4.770793;-0.463648;0.000000;2.000000
11.768488;10.643460;-4.770793;-0.463648;0.000000;2.000000
11.909910;10.743460;-4.870793;-0.643501;0.000000;2.000000
12.021713;10.843460;-4.920793;-0.463648;0.000000;2.000000
12.133517;10.943460;-4.970793;-0.463648;0.000000;2.000000
12.245320;11.043460;-5.020793;-0.463648;0.000000;2.000000
12.357123;11.143460;-5.070793;-0.463648;0.000000;2.000000
12.468927;11.243460;-5.120793;-0.463648;0.000000;2.000000
12.580730;11.343460;-5.170793;-0.463648;0.000000;2.000000
12.692534;11.443460;-5.220793;-0.463648;0.000000;2.000000
12.804337;11.543460;-5.270793;-0.643501;0.000000;2.000000
12.945758;11.643460;-5.370793;-0.643501;0.000000;2.000000
13.057562;11.743460;-5.420793;-0.463648;0.000000;2.000000
13.169365;11.843460;-5.470793;-0.463648;0.000000;2.000000
13.281168;11.943460;-5.520793;-0.463648;0.000000;2.000000
13.392972;12.043460;-5.570793;-0.463648;0.000000;2.000000
13.504775;12.143460;-5.620793;-0.463648;0.000000;2.000000
13.616579;12.243460;-5.670793;-0.463648;0.000000;2.000000
13.728382;12.343460;-5.720793;-0.463648;0.000000;2.000000
13.840185;12.443460;-5.770793;-0.463648;0.000000;2.000000
13.951989;12.543460;-5.820793;-0.463648;0.000000;2.000000
14.063792;12.643460;-5.870793;-0.463648;0.000000;2.000000
14.175596;12.743460;-5.920793;-0.463648;0.000000;2.000000
14.287399;12.843460;-5.970793;-0.643501;0.000000;2.000000
14.428820;12.943460;-6.070793;-0.463648;0.000000;2.000000
14.528820;13.043460;-6.070793;-0.463648;0.000000;2.000000
14.670242;13.143460;-6.170793;-0.643501;0.000000;2.000000
14.782045;13.243460;-6.220793;-0.463648;0.000000;2.000000
